"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","109204","1027","105930","2247"
"2","SAS Nagar","94621","1496","91988","1137"
"3","Jalandhar","77680","944","75174","1562"
"4","Patiala","61800","233","60118","1449"
"5","Amritsar","58927","470","56784","1673"
"6","Bathinda","50480","471","48929","1080"
"7","Hoshiarpur","40360","568","38719","1073"
"8","Gurdaspur","26747","213","25676","858"
"9","Pathankot","24131","298","23358","475"
"10","Fazilka","23050","941","21565","544"
"11","Muktsar","22344","268","21541","535"
"12","Kapurthala","21807","232","21003","572"
"13","Sangrur","18239","80","17254","905"
"14","Ropar","17772","277","17053","442"
"15","Ferozepur","17663","190","16948","525"
"16","Mansa","17194","92","16711","391"
"17","Faridkot","16493","144","16016","333"
"18","SBS Nagar","13328","80","12848","400"
"19","FG Sahib","11764","128","11283","353"
"20","Moga","10885","250","10385","250"
"21","Tarn Taran","10754","278","10087","389"
"22","Barnala","7392","70","7046","276"
"","Total","752635","8750","726416","17469"
