"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","56","91","539"
"Kollam","27","58","37"
"Pathanamthitta","30","38","131"
"Alappuzha","12","4","118"
"Kottayam","55","76","585"
"Idukki","24","73","328"
"Ernakulam","88","109","1062"
"Thrissur","19","25","219"
"Palakkad","8","8","58"
"Malappuram","5","17","188"
"Kozhikode","37","55","360"
"Wayanad","15","17","126"
"Kannur","16","17","51"
"Kasaragod","8","5","31"
"Total","400","593","3833"
