"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","2951","113427","2874","110363","37","3016","48"
"2","SAS Nagar","5146","100835","5045","99578","20","1168","89"
"3","Jalandhar","2723","80988","2628","78966","33","1973","49"
"4","Patiala","2057","64137","2004","62387","11","1722","28"
"5","Amritsar","1343","60898","1293","59001","6","1846","51"
"6","Bathinda","1472","52339","1391","50834","3","1426","79"
"7","Hoshiarpur","1252","42361","1174","40906","16","1416","39"
"8","Gurdaspur","338","27265","306","26379","5","869","17"
"9","Pathankot","490","24992","445","24460","4","521","11"
"10","Fazilka","451","23883","432","23235","0","621","27"
"11","Muktsar","260","22812","249","22259","3","542","11"
"12","Kapurthala","532","22561","507","21948","7","599","14"
"13","Ropar","1081","19019","1032","18515","4","459","45"
"14","Ferozepur","455","18348","433","17793","3","540","15"
"15","Mansa","186","17411","180","17016","1","393","2"
"16","Faridkot","375","17211","370","16791","3","414","6"
"17","Sangrur","273","14707","262","13835","9","869","3"
"18","SBS Nagar","444","13846","435","13423","0","409","14"
"19","FG Sahib","680","12595","663","12143","1","437","15"
"20","Moga","234","11233","222","10953","4","270","10"
"21","Tarn Taran","141","11041","121","10626","1","399","16"
"22","Barnala","205","7705","199","7337","5","362","6"
"23","Malerkotla","60","4063","58","3849","3","214","0"
"","Total","23149","783677","22323","762597","179","20485","595"
