"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","107119","4480","100433","2206"
"2","SAS Nagar","91848","6531","84204","1113"
"3","Jalandhar","76049","2850","71654","1545"
"4","Patiala","61386","1237","58719","1430"
"5","Amritsar","57738","2625","53465","1648"
"6","Bathinda","49393","1994","46331","1068"
"7","Hoshiarpur","38977","2597","35342","1038"
"8","Gurdaspur","26282","875","24564","843"
"9","Pathankot","23541","548","22536","457"
"10","Fazilka","22277","1227","20516","534"
"11","Kapurthala","21263","802","19898","563"
"12","Muktsar","21106","1057","19518","531"
"13","Sangrur","17953","349","16708","896"
"14","Ropar","17143","829","15883","431"
"15","Ferozepur","17110","688","15902","520"
"16","Mansa","17048","448","16212","388"
"17","Faridkot","16102","782","14992","328"
"18","SBS Nagar","13241","365","12483","393"
"19","FG Sahib","11566","392","10826","348"
"20","Tarn Taran","10403","1256","8762","385"
"21","Moga","10383","802","9341","240"
"22","Barnala","7211","302","6655","254"
"","Total","735139","33036","684944","17159"
