"District","Recovered","Deceased","Active"
"Gautam Buddha Nagar","62942","467","22"
"Lucknow","236210","2651","18"
"Mathura","19898","402","12"
"Ghazipur","21361","283","5"
"Mainpuri","9846","182","5"
"Saharanpur","32310","420","5"
"Agra","25309","457","4"
"Bareilly","43656","377","4"
"Ghaziabad","55217","461","4"
"Kanpur Dehat","6088","110","3"
"Kanpur Nagar","81033","1905","3"
"Varanasi","84534","971","3"
"Gonda","12011","271","2"
"Kannauj","9114","115","2"
"Prayagraj","77635","1088","2"
"Siddharthnagar","9273","100","2"
"Aligarh","21172","109","1"
"Ambedkar Nagar","4887","152","1"
"Ballia","21376","234","1"
"Banda","10833","159","1"
"Barabanki","19625","225","1"
"Bahraich","11371","178","1"
"Deoria","20005","221","1"
"Farrukhabad","10154","194","1"
"Fatehpur","6675","139","1"
"Gorakhpur","58593","848","1"
"Jaunpur","22349","235","1"
"Jhansi","35895","663","1"
"Maharajganj","12301","140","1"
"Meerut","68587","898","1"
"Muzaffarnagar","30738","269","1"
"Rae Bareli","16765","343","1"
"Sambhal","9331","106","1"
"Sant Kabir Nagar","8063","98","1"
"Sitapur","12213","185","1"
"Unnao","14759","254","1"
"Amethi","9829","143","0"
"Amroha","16413","203","0"
"Auraiya","9890","203","0"
"Ayodhya","16629","290","0"
"Azamgarh","17678","228","0"
"Budaun","14843","98","0"
"Baghpat","8993","141","0"
"Balrampur","7357","138",0
"Basti","11388","330",0
"Bhadohi","7557","163",0
"Bijnor","14668","126",0
"Bulandshahr","19975","243",0
"Chandauli","15852","357",0
"Chitrakoot","7031","79",0
"Etah","9869","99",0
"etawah","13640","293",0
"Firozabad","8586","135",0
"Hamirpur","5130","102",0
"Hapur","12423","217",0
"Hardoi","13408","349",0
"Hathras","2877","43",0
"jalaun","11487","202",0
"Kasganj","4197","53",0
"Kaushambi","4355","70",0
"Kushinagar","15389","228",0
"Lakhimpur Kheri","24122","292",0
"Lalitpur","12621","128",0
"Mahoba","4182","86",0
"Mau","8253","80",0
"Mirzapur","10973","116",0
"Moradabad","38753","349",0
"Pilibhit","10839","193",0
"Pratapgarh","15875","163",0
"Rampur","11676","148",0
"Shahjahanpur","19918","444",0
"Shamli","12931","45",0
"Shrawasti","4353","35",0
"Sonbhadra","16556","251",0
"Sultanpur","14779","138",0
