"","","","","","","","","","","","reasons#"
"","","","","","","","","","","",""
"","Districtwise Abstract of COVID-19","","","","","","","","","",""
"","Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid",""
"","1","Bagalakote","58","35678","27","34924","421","0","333","0",""
"","2","Ballari","714","101365","54","96335","3341","0","1689","0",""
"","3","Belagavi","418","83162","68","79538","2675","0","949","0",""
"","4","Bengaluru Rural","1116","66820","196","61795","4129","1","896","0",""
"","5","Bengaluru Urban","25595","1458349","4514","1263555","178328","7","16465","1",""
"","6","Bidar","235","25494","252","24297","789","0","404","4",""
"","7","Chamarajanagara","198","34225","69","32819","890","1","505","11",""
"","8","Chikkaballapura","358","45960","134","43792","1731","0","436","1",""
"","9","Chikkamagaluru","362","52987","43","51302","1287","0","398","0",""
"","10","Chitradurga","402","38160","24","36668","1278","1","214","0",""
"","11","Dakshina 
Kannada","1058","123305","275","116630","4964","0","1704","7",""
"","12","Davanagere","257","52376","126","50732","1035","1","609","0",""
"","13","Dharwada","726","66047","316","61160","3558","1","1327","2",""
"","14","Gadag","150","26858","30","25862","677","0","319","0",""
"","15","Hassana","1739","119633","1","111560","6806","1","1265","2",""
"","16","Haveri","44","22178","31","21367","168","0","643","0",""
"","17","Kalaburagi","514","65294","299","61934","2532","0","828","0",""
"","18","Kodagu","89","38761","53","37568","854","0","338","1",""
"","19","Kolara","481","50789","69","47278","2867","0","644","0",""
"","20","Koppala","83","35720","38","34789","403","0","528","0",""
"","21","Mandya","895","79788","510","75423","3706","0","659","0",""
"","22","Mysuru","1848","190462","585","179623","8401","3","2438","0",""
"","23","Raichuru","205","41025","3","39684","1008","0","333","0",""
"","24","Ramanagara","379","25687","44","24061","1299","1","327","0",""
"","25","Shivamogga","306","72299","185","69072","2137","0","1090","0",""
"","26","Tumakuru","1731","129765","148","120659","7958","2","1148","0",""
"","27","Udupi","801","82336","95","77544","4301","0","491","0",""
"","28","Uttara Kannada","587","59330","131","56450","2100","1","780","0",""
"","29","Vijayapura","53","37068","26","36006","566","0","496","0",""
"","30","Yadagiri","55","27743","7","27365","172","0","206","0",""
"","31","Others*","0","36","0","33","0","0","3","0",""
"","Total","","41457","3288700","8353","2999825","250381","20","38465","29",""
"","*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 18-01-2022 
 Page 5 of 22","","","","","","","","","",""
"","","","","","","","","","","",""
