"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","0","40678","1","40309","2","0","367","0"
"2","Ballari","0","115506","4","113722","20","1","1762","2"
"3","Belagavi","0","100115","3","99085","27","0","1001","2"
"4","Bengaluru Rural","2","79274","0","78355","13","0","906","0"
"5","Bengaluru Urban","84","1780778","87","1762114","1714","2","16949","1"
"6","Bidar","0","29806","0","29380","2","0","420","4"
"7","Chamarajanagara","0","43615","0","43079","1","0","524","11"
"8","Chikkaballapura","1","55618","4","55150","8","0","459","1"
"9","Chikkamagaluru","2","57239","1","56827","6","0","406","0"
"10","Chitradurga","3","46298","18","46015","44","0","239","0"
"11","Dakshina 
Kannada","6","135468","3","133593","26","0","1839","10"
"12","Davanagere","0","57534","0","56907","4","0","623","0"
"13","Dharwada**","2","84064","0","82663","11","1","1383","7"
"14","Gadag","0","30583","0","30248","0","0","335","0"
"15","Hassana","0","143856","2","142546","3","0","1305","2"
"16","Haveri","0","26838","0","26167","3","0","668","0"
"17","Kalaburagi","1","76597","4","75702","15","0","880","0"
"18","Kodagu","0","49263","0","48907","3","0","352","1"
"19","Kolara","0","62981","1","62314","3","0","664","0"
"20","Koppala","0","41281","0","40742","1","0","538","0"
"21","Mandya","0","101480","0","100765","4","0","711","0"
"22","Mysuru","2","229438","12","226841","39","0","2558","0"
"23","Raichuru","0","45446","0","45081","1","0","364","0"
"24","Ramanagara","1","29789","3","29437","5","0","347","0"
"25","Shivamogga","1","83317","6","82164","24","0","1128","1"
"26","Tumakuru","1","159825","3","158594","15","0","1216","0"
"27","Udupi","0","95593","0","95042","5","0","546","0"
"28","Uttara Kannada","0","71159","1","70342","8","0","809","0"
"29","Vijayapura","0","40995","0","40473","3","1","519","0"
"30","Yadagiri","0","29962","1","29747","3","0","212","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","106","3944432","154","3902344","2013","5","40033","42"
"*
Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
** Non-COVID-19 death reported from Dharwada District.  
 
Date: 18-03-2022 
Page 5 of 7","","","","","","","","",""
