"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)","","",""
"","","","","","","","","Coverage of Vaccination  
on 04-02-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"1","Gurugram","814","4699","251854","246182[1287]","97.75","973[3]","1435","4225","1119","4819021"
"2","Faridabad","254","1976","124990","122276[278]","97.83","738[1]","1703","5651","423","3648715"
"3","Hisar","170","951","60831","58723[297]","96.53","1157[1]","997","2094","109","2176067"
"4","Sonepat","89","865","57586","56459[206]","98.04","262","1081","2265","162","2121813"
"5","Karnal","29","623","47743","46532[201]","97.46","588","913","3991","274","2189265"
"6","Panipat","48","393","35803","34757[85]","97.08","653[1]","587","1792","74","1864170"
"7","Panchkula","106","601","43367","42362[231]","97.68","404[1]","399","1037","221","1024616"
"8","Ambala","74","1142","40224","38550[179]","95.84","532[1]","667","2088","212","1963742"
"9","Sirsa","74","389","32870","31959[119]","97.23","522[2]","815","1910","155","1815739"
"10","Rohtak","107","648","31208","30009[144]","96.16","534","906","2267","141","1503106"
"11","Yamunanagar","77","559","29288","28280[189]","96.56","449[2]","560","1762","154","1736889"
"12","Bhiwani","80","660","25714","24396[150]","94.87","658","722","3416","76","1633662"
"13","Kurukshetra","96","398","26331","25556[102]","97.06","377[2]","866","3707","156","1363824"
"14","Mahindergarh","44","399","24102","23544[162]","97.68","159","966","2513","415","1248800"
"15","Jind","51","378","24069","23153[91]","96.19","538","1136","2622","67","1567433"
"16","Rewari","76","432","24044","23391[112]","97.28","221","532","3381","412","1442571"
"17","Jhajjar","64","330","22614","21946[67]","97.05","332","737","1575","138","1465867"
"18","Fatehabad","37","243","19843","19108[12]","96.30","492","725","1680","55","1151031"
"19","Kaithal","87","608","13983","13014[44]","93.07","361[3]","921","8138","114","1557425"
"20","Palwal","43","187","12126","11786[119]","97.20","153","1325","2169","43","1391157"
"21","Charkhi Dadri","54","300","6849","6409[122]","93.58","140","287","2338","62","812506"
"22","Nuh","24","73","5900","5698[23]","96.58","129[2]","2189","4016","21","1128307"
"Haryana","","2498","16854","961339","934090 [4220]","97.17","10372[19]","20469","64728","4603","39625726"
