"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","2,03,926"
"2","Number of persons tested positive today in Tamil Nadu","22,237"
"","Passengers returned from other countries  by 
International airport tested positive today","UAE-1"
"","Total","22,238"
"3","Total Number of persons tested positive till date","33,25,940"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,36,952/ 
6,16,24,216@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,28,077/ 
6,05,57,722"
"6","No. of Male / Female / Transgender tested positive today","13,251/8,987/0"
"7","No. of Male / Female / Transgender tested positive till date","19,40,046/13,85,856/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","330 (69 Govt+ 
261Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","26,624/ 
30,84,470"
"10","Total number of deaths today/ till date","38(23 Private &  
15 Govt) /37,544"
