"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","3055","113531","3008","110497","37","3016","18"
"2","SAS Nagar","5322","101011","5241","99774","20","1168","69"
"3","Jalandhar","2793","81058","2717","79055","40","1980","23"
"4","Patiala","2114","64194","2075","62458","11","1722","14"
"5","Amritsar","1380","60935","1366","59074","6","1846","15"
"6","Bathinda","1554","52421","1539","50982","4","1427","12"
"7","Hoshiarpur","1286","42395","1236","40968","19","1419","8"
"8","Gurdaspur","345","27272","325","26398","7","871","3"
"9","Pathankot","513","25015","475","24490","4","521","4"
"10","Fazilka","494","23926","490","23293","0","621","12"
"11","Muktsar","276","22828","271","22281","3","542","5"
"12","Kapurthala","543","22572","528","21969","7","599","4"
"13","Ropar","1132","19070","1113","18596","4","459","15"
"14","Ferozepur","468","18361","458","17818","3","540","3"
"15","Mansa","190","17415","186","17022","1","392","1"
"16","Faridkot","378","17214","379","16800","3","414","0"
"17","Sangrur","275","14709","267","13840","9","869","0"
"18","SBS Nagar","461","13863","461","13449","0","409","5"
"19","FG Sahib","707","12622","702","12182","1","437","3"
"20","Moga","244","11243","238","10969","6","272","2"
"21","Tarn Taran","150","11050","140","10645","1","399","6"
"22","Barnala","211","7711","208","7346","7","364","1"
"23","Malerkotla","60","4063","58","3849","3","214","0"
"","Total","23951","784479","23481","763755","196","20501","223"
