"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","87648","20","85519","2109"
"2","SAS Nagar","68908","44","67793","1071"
"3","Jalandhar","63461","36","61928","1497"
"4","Patiala","48947","7","47581","1359"
"5","Amritsar","47417","8","45811","1598"
"6","Bathinda","41766","24","40699","1043"
"7","Hoshiarpur","30883","29","29863","991"
"8","Gurdaspur","22393","7","21584","802"
"9","Fazilka","20279","5","19745","529"
"10","Pathankot","18889","41","18425","423"
"11","Muktsar","18785","1","18260","524"
"12","Kapurthala","17865","11","17298","556"
"13","Sangrur","15768","3","14890","875"
"14","Mansa","15608","2","15226","380"
"15","Ferozepur","14379","24","13851","504"
"16","Faridkot","13938","7","13614","317"
"17","Ropar","12976","4","12548","424"
"18","SBS Nagar","11472","0","11084","388"
"19","FG Sahib","8888","4","8548","336"
"20","Moga","8681","3","8444","234"
"21","Tarn Taran","8051","2","7669","380"
"22","Barnala","5954","8","5702","244"
"","Total","602956","290","586082","16584"
