AP|2022-03-12 07:55:15.142762|GetSource|ERR|File Not Found
AP|2022-03-12 09:55:11.522908|GetSource|OK|File Downloaded. Source URL: https://hmfw.ap.gov.in/covid_dashboard.aspx
AP|2022-03-12 09:55:24.137609|ExtractFromHTML|OK|COMPLETED
AP|2022-03-12 11:55:10.444491|GetSource|OK|File Downloaded. Source URL: https://hmfw.ap.gov.in/covid_dashboard.aspx
AP|2022-03-12 11:55:24.153517|ExtractFromHTML|OK|COMPLETED
AP|2022-03-12 19:55:12.947792|GetSource|OK|File Downloaded. Source URL: https://hmfw.ap.gov.in/covid_dashboard.aspx
AP|2022-03-12 19:55:32.828150|ExtractFromHTML|OK|COMPLETED
AP|2022-03-12 20:55:11.086723|GetSource|OK|File Downloaded. Source URL: https://hmfw.ap.gov.in/covid_dashboard.aspx
AP|2022-03-12 20:55:32.223970|ExtractFromHTML|OK|COMPLETED
AP|2022-03-12 21:55:10.701719|GetSource|OK|File Downloaded. Source URL: https://hmfw.ap.gov.in/covid_dashboard.aspx
AP|2022-03-12 21:55:26.731517|ExtractFromHTML|OK|COMPLETED
AP|2022-03-12 22:55:21.393054|GetSource|OK|File Downloaded. Source URL: https://hmfw.ap.gov.in/covid_dashboard.aspx
AP|2022-03-12 22:55:37.249866|ExtractFromHTML|OK|COMPLETED
AP|2022-03-12 23:55:10.879289|GetSource|OK|File Downloaded. Source URL: https://hmfw.ap.gov.in/covid_dashboard.aspx
AP|2022-03-12 23:55:27.245764|ExtractFromHTML|OK|COMPLETED
AP|2022-03-13 07:55:10.766706|GetSource|OK|File Downloaded. Source URL: https://hmfw.ap.gov.in/covid_dashboard.aspx
AP|2022-03-13 09:55:10.596023|GetSource|OK|File Downloaded. Source URL: https://hmfw.ap.gov.in/covid_dashboard.aspx
AP|2022-03-13 11:55:11.323756|GetSource|OK|File Downloaded. Source URL: https://hmfw.ap.gov.in/covid_dashboard.aspx
AP|2022-03-13 16:31:02.862118|GetSource|OK|File Downloaded. Source URL: https://hmfw.ap.gov.in/covid_dashboard.aspx
AP|2022-03-13 16:31:02.961052|ExtractFromHTML|OK|COMPLETED
AP|2022-03-13 16:33:43.769005|ExtractFromHTML|OK|COMPLETED
AP|2022-03-13 16:35:27.447067|ExtractFromHTML|OK|COMPLETED
AP|2022-03-13 16:56:31.319214|ExtractFromHTML|OK|COMPLETED
AP|2022-03-13 17:08:19.888866|ExtractFromHTML|OK|COMPLETED
AP|2022-03-13 17:43:49.817910|ExtractFromHTML|OK|COMPLETED
AP|2022-03-13 17:49:03.259468|ExtractFromHTML|OK|COMPLETED
AP|2022-03-13 18:19:37.222433|ExtractFromHTML|OK|COMPLETED
AP|2022-03-13 19:55:11.147119|GetSource|OK|File Downloaded. Source URL: https://hmfw.ap.gov.in/covid_dashboard.aspx
AP|2022-03-13 20:55:10.985817|GetSource|OK|File Downloaded. Source URL: https://hmfw.ap.gov.in/covid_dashboard.aspx
AP|2022-03-13 21:55:10.546004|GetSource|OK|File Downloaded. Source URL: https://hmfw.ap.gov.in/covid_dashboard.aspx
AP|2022-03-13 22:55:11.278208|GetSource|OK|File Downloaded. Source URL: https://hmfw.ap.gov.in/covid_dashboard.aspx
AP|2022-03-13 23:55:11.259763|GetSource|OK|File Downloaded. Source URL: https://hmfw.ap.gov.in/covid_dashboard.aspx
AP|2022-03-14 07:55:10.457009|GetSource|OK|File Downloaded. Source URL: https://hmfw.ap.gov.in/covid_dashboard.aspx
AP|2022-03-14 09:55:11.091949|GetSource|OK|File Downloaded. Source URL: https://hmfw.ap.gov.in/covid_dashboard.aspx
AP|2022-03-14 12:00:35.981290|ExtractFromHTML|OK|COMPLETED
AP|2022-04-06 12:48:43.179742|ExtractFromPDF|OK|COMPLETED
AP|2022-04-06 13:05:03.850783|ExtractFromPDF|OK|COMPLETED
AP|2022-04-06 13:05:53.623146|ExtractFromPDF|OK|COMPLETED
AP|2022-04-06 14:49:25.253565|ExtractFromPDF|OK|COMPLETED
AP|2022-04-06 19:55:07.025471|ExtractFromPDF|OK|COMPLETED
AP|2022-04-06 20:55:07.415425|ExtractFromPDF|OK|COMPLETED
AP|2022-04-06 21:55:06.529109|ExtractFromPDF|OK|COMPLETED
AP|2022-04-06 22:33:08.798123|ExtractFromPDF|OK|COMPLETED
AP|2022-04-06 22:35:07.338290|ExtractFromPDF|OK|COMPLETED
