"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on 
26-11-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","7","181673","180689[14]","99.46","924","60","2465","8246","3817528"
"2","Faridabad","1","99935","99202[1]","99.27","717","16","2363","6055","2690311"
"3","Hisar","1","53997","52860","97.89","1136","1","1060","4384","1412795"
"4","Sonepat","3","47143","46885","99.45","254","4","1396","4938","1516274"
"5","Karnal","0","40041","39488","98.62","552","1","1773","5409","1565116"
"6","Panipat","0","31153","30515","97.95","638","0","1825","5132","1228238"
"7","Panchkula","8","30827","30411[2]","98.65","379","37","380","1968","789298"
"8","Ambala","0","30150","29641","98.31","509","0","779","5447","1557174"
"9","Sirsa","0","29283","28775[1]","98.27","508","0","1826","4539","1174491"
"10","Rohtak","0","25915","25362","97.87","534","2","1921","3636","1074592"
"11","Yamunanagar","1","24640","24221","98.30","414","5","606","3630","1237178"
"12","Bhiwani","0","22409","21757","97.09","652","0","1111","7387","1192852"
"13","Kurukshetra","0","22152","21794[1]","98.38","357","1","773","3920","923640"
"14","Mahindergarh","0","21689","21534","99.29","155","0","747","2576","918905"
"15","Jind","0","21210","20676","97.48","533","1","1141","3675","1046167"
"16","Rewari","0","20329","20108","98.91","221","0","886","3853","1029241"
"17","Jhajjar","0","18850","18516","98.23","328","0","741","3031","1076875"
"18","Fatehabad","0","17880","17395","97.29","482","3","685","2733","824043"
"19","Kaithal","0","11247","10899","96.91","346","2","1098","6577","945655"
"20","Palwal","0","11028","10873","98.59","153","2","3509","4617","933582"
"21","Charkhi Dadri","0","5078","4939","97.26","139","0","503","2821","662165"
"22","Nuh","0","5014","4891","97.55","123","0","13529","1723","644219"
"Total","","21","771643","761431[19]","98.68","10054","135","41117","96297","28260339"
