,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaVaccinatedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaVaccinatedForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaVaccinatedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaVaccinatedForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinatedNumberForDistrict,last_updated,statePopulation,tested_last_updated_statetested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinatedNumberForState
0,2021-10-29,India,,,,,,,,,Andaman and Nicobar,,,,,,,,,,,,,7651,129,7516,,,2021-10-29 23:25:04.817827,,,,34246157,457191,33627632,605885769,1048200966
1,2021-10-29,India,,,,,,,,,Andhra Pradesh,,,,,,,,,,,,,2065235,14365,2046127,,,2021-10-29 23:25:04.817827,,,,34246157,457191,33627632,605885769,1048200966
2,2021-10-29,India,,,,,,,,,Arunachal Pradesh,,,,,,,,,,,,,55134,280,54739,,,2021-10-29 23:25:04.817827,,,,34246157,457191,33627632,605885769,1048200966
3,2021-10-29,India,,,,,,,,,Assam,,,,,,,,,,,,,609828,5989,600089,,,2021-10-29 23:25:04.817827,,,,34246157,457191,33627632,605885769,1048200966
4,2021-10-29,India,,,,,,,,,Bihar,,,,,,,,,,,,,726079,9661,716372,,,2021-10-29 23:25:04.817827,,,,34246157,457191,33627632,605885769,1048200966
5,2021-10-29,India,,,,,,,,,Chandigarh,,,,,,,,,,,,,65335,820,64486,,,2021-10-29 23:25:04.817827,,,,34246157,457191,33627632,605885769,1048200966
6,2021-10-29,India,,,,,,,,,Chhattisgarh,,,,,,,,,,,,,1005957,13575,992097,,,2021-10-29 23:25:04.817827,,,,34246157,457191,33627632,605885769,1048200966
7,2021-10-29,India,,,,,,,,,Dadra and Nagar Haveli and Daman and Diu,,,,,,,,,,,,,10682,4,10672,,,2021-10-29 23:25:04.817827,,,,34246157,457191,33627632,605885769,1048200966
8,2021-10-29,India,,,,,,,,,Delhi,,,,,,,,,,,,,1439751,25091,1414315,,,2021-10-29 23:25:04.817827,,,,34246157,457191,33627632,605885769,1048200966
9,2021-10-29,India,,,,,,,,,Goa,,,,,,,,,,,,,178016,3363,174216,,,2021-10-29 23:25:04.817827,,,,34246157,457191,33627632,605885769,1048200966
10,2021-10-29,India,,,,,,,,,Gujarat,,,,,,,,,,,,,826504,10088,816232,,,2021-10-29 23:25:04.817827,,,,34246157,457191,33627632,605885769,1048200966
11,2021-10-29,India,,,,,,,,,Haryana,,,,,,,,,,,,,771217,10049,761035,,,2021-10-29 23:25:04.817827,,,,34246157,457191,33627632,605885769,1048200966
12,2021-10-29,India,,,,,,,,,Himachal Pradesh,,,,,,,,,,,,,223619,3745,217918,,,2021-10-29 23:25:04.817827,,,,34246157,457191,33627632,605885769,1048200966
13,2021-10-29,India,,,,,,,,,Jammu and Kashmir,,,,,,,,,,,,,331963,4432,326668,,,2021-10-29 23:25:04.817827,,,,34246157,457191,33627632,605885769,1048200966
14,2021-10-29,India,,,,,,,,,Jharkhand,,,,,,,,,,,,,348720,5137,343429,,,2021-10-29 23:25:04.817827,,,,34246157,457191,33627632,605885769,1048200966
15,2021-10-29,India,,,,,,,,,Karnataka,,,,,,,,,,,,,2987313,38054,2940673,,,2021-10-29 23:25:04.817827,,,,34246157,457191,33627632,605885769,1048200966
16,2021-10-29,India,,,,,,,,,Kerala,,,,,,,,,,,,,4946341,30685,4836928,,,2021-10-29 23:25:04.817827,,,,34246157,457191,33627632,605885769,1048200966
17,2021-10-29,India,,,,,,,,,Ladakh,,,,,,,,,,,,,20930,208,20673,,,2021-10-29 23:25:04.817827,,,,34246157,457191,33627632,605885769,1048200966
18,2021-10-29,India,,,,,,,,,Lakshadweep,,,,,,,,,,,,,10365,51,10314,,,2021-10-29 23:25:04.817827,,,,34246157,457191,33627632,605885769,1048200966
19,2021-10-29,India,,,,,,,,,Maharashtra,,,,,,,,,,,,,6607954,140134,6445454,,,2021-10-29 23:25:04.817827,,,,34246157,457191,33627632,605885769,1048200966
20,2021-10-29,India,,,,,,,,,Manipur,,,,,,,,,,,,,123526,1918,120766,,,2021-10-29 23:25:04.817827,,,,34246157,457191,33627632,605885769,1048200966
21,2021-10-29,India,,,,,,,,,Meghalaya,,,,,,,,,,,,,83527,1449,81562,,,2021-10-29 23:25:04.817827,,,,34246157,457191,33627632,605885769,1048200966
22,2021-10-29,India,,,,,,,,,Mizoram,,,,,,,,,,,,,120088,427,112600,,,2021-10-29 23:25:04.817827,,,,34246157,457191,33627632,605885769,1048200966
23,2021-10-29,India,,,,,,,,,Madhya Pradesh,,,,,,,,,,,,,792823,10524,782184,,,2021-10-29 23:25:04.817827,,,,34246157,457191,33627632,605885769,1048200966
24,2021-10-29,India,,,,,,,,,Nagaland,,,,,,,,,,,,,31772,684,30878,,,2021-10-29 23:25:04.817827,,,,34246157,457191,33627632,605885769,1048200966
25,2021-10-29,India,,,,,,,,,Odisha,,,,,,,,,,,,,1040230,8322,1027654,,,2021-10-29 23:25:04.817827,,,,34246157,457191,33627632,605885769,1048200966
26,2021-10-29,India,,,,,,,,,Puducherry,,,,,,,,,,,,,127891,1857,125581,,,2021-10-29 23:25:04.817827,,,,34246157,457191,33627632,605885769,1048200966
27,2021-10-29,India,,,,,,,,,Punjab,,,,,,,,,,,,,602320,16556,585514,,,2021-10-29 23:25:04.817827,,,,34246157,457191,33627632,605885769,1048200966
28,2021-10-29,India,,,,,,,,,Rajasthan,,,,,,,,,,,,,954418,8954,945438,,,2021-10-29 23:25:04.817827,,,,34246157,457191,33627632,605885769,1048200966
