Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState,deltaVaccinatedForState,cumulativeVaccinatedNumberForDistrict,deltaVaccinatedForDistrict
2021-10-29,OR,374,4,1043,135315,117049,153924,0,0,0,0,0,0,0,Angul,6,0,7,,3850,4117,0,0,0,0,0,0,0,1271703,,,,43919,393,43503,,783486,287307,2021-12-08 10:34:49.695019,43671000,2021-12-08 10:34:49.695697,,,1040969,8329,1028697,21924668,25612771,11389371,37002142.0,270973.0,1070793.0,0
2021-10-29,OR,374,4,1043,135315,117049,153924,0,0,0,0,0,0,0,Balasore,14,0,21,,12968,4412,0,0,0,0,0,0,0,2317419,,,,40782,294,40375,,1343906,530078,2021-12-08 10:34:49.695019,43671000,2021-12-08 10:34:49.695697,,,1040969,8329,1028697,21924668,25612771,11389371,37002142.0,270973.0,1873984.0,0
2021-10-29,OR,374,4,1043,135315,117049,153924,0,0,0,0,0,0,0,Bargarh,4,0,4,,7611,5359,0,0,0,0,0,0,0,1478833,,,,31126,335,30761,,816994,276608,2021-12-08 10:34:49.695019,43671000,2021-12-08 10:34:49.695697,,,1040969,8329,1028697,21924668,25612771,11389371,37002142.0,270973.0,1093602.0,0
2021-10-29,OR,374,4,1043,135315,117049,153924,0,0,0,0,0,0,0,Bhadrak,6,0,13,,2371,5971,0,0,0,0,0,0,0,1506522,,,,26477,146,26253,,1024744,362956,2021-12-08 10:34:49.695019,43671000,2021-12-08 10:34:49.695697,,,1040969,8329,1028697,21924668,25612771,11389371,37002142.0,270973.0,1387700.0,0
2021-10-29,OR,374,4,1043,135315,117049,153924,0,0,0,0,0,0,0,Balangir,1,0,2,,3009,6524,0,0,0,0,0,0,0,1648574,,,,23397,126,23257,,957871,293241,2021-12-08 10:34:49.695019,43671000,2021-12-08 10:34:49.695697,,,1040969,8329,1028697,21924668,25612771,11389371,37002142.0,270973.0,1251112.0,0
2021-10-29,OR,374,4,1043,135315,117049,153924,0,0,0,0,0,0,0,Boudh,0,0,0,,1251,1846,0,0,0,0,0,0,0,439917,,,,12634,112,12488,,257674,86178,2021-12-08 10:34:49.695019,43671000,2021-12-08 10:34:49.695697,,,1040969,8329,1028697,21924668,25612771,11389371,37002142.0,270973.0,343852.0,0
2021-10-29,OR,374,4,1043,135315,117049,153924,0,0,0,0,0,0,0,Cuttack,17,1,99,,12096,8297,0,0,0,0,0,0,0,2618708,,,,94577,853,93375,,1421474,694377,2021-12-08 10:34:49.695019,43671000,2021-12-08 10:34:49.695697,,,1040969,8329,1028697,21924668,25612771,11389371,37002142.0,270973.0,2115851.0,0
2021-10-29,OR,374,4,1043,135315,117049,153924,0,0,0,0,0,0,0,Deogarh,4,0,3,,112,476,0,0,0,0,0,0,0,312164,,,,6551,50,6457,,223351,63325,2021-12-08 10:34:49.695019,43671000,2021-12-08 10:34:49.695697,,,1040969,8329,1028697,21924668,25612771,11389371,37002142.0,270973.0,286676.0,0
2021-10-29,OR,374,4,1043,135315,117049,153924,0,0,0,0,0,0,0,Dhenkanal,2,0,16,,2861,3858,0,0,0,0,0,0,0,1192948,,,,19866,243,19598,,735885,278884,2021-12-08 10:34:49.695019,43671000,2021-12-08 10:34:49.695697,,,1040969,8329,1028697,21924668,25612771,11389371,37002142.0,270973.0,1014769.0,0
2021-10-29,OR,374,4,1043,135315,117049,153924,0,0,0,0,0,0,0,Gajapati,2,0,8,,737,2243,0,0,0,0,0,0,0,575880,,,,9652,83,9555,,287851,112856,2021-12-08 10:34:49.695019,43671000,2021-12-08 10:34:49.695697,,,1040969,8329,1028697,21924668,25612771,11389371,37002142.0,270973.0,400707.0,0
