Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState,deltaVaccinatedForState,7DmaVaccinatedForState,cumulativeVaccinatedNumberForDistrict
2021-10-29,WB,916.0,5.0,797.0,0,703980.0,317846.0,0,1588181.2857142857,19079.714285714286,1561154.0,,53568207.0,20340660.0,Alipurduar,0,0,0,0,0,0,0,15566.0,102.0,15416.0,,921959.0,331964.0,1700000,,,,15581,102,15431,,939348,345642,2021-10-31T02:58:59.302439+05:30,96906000,,,,1590948,19110,1563615,,55220133,21195232,76415365.0,1021826.0,73908867.0,1284990.0
2021-10-29,WB,916.0,5.0,797.0,0,703980.0,317846.0,0,1588181.2857142857,19079.714285714286,1561154.0,,53568207.0,20340660.0,Cooch Behar,0,0,0,0,0,0,0,,,,,,,2822780,,,,29254,97,29034,,1421772,418180,2021-10-31T02:58:59.302439+05:30,96906000,,,,1590948,19110,1563615,,55220133,21195232,76415365.0,1021826.0,73908867.0,1839952.0
2021-10-29,WB,916.0,5.0,797.0,0,703980.0,317846.0,0,1588181.2857142857,19079.714285714286,1561154.0,,53568207.0,20340660.0,Darjeeling,0,0,0,0,0,0,0,,,,,,,1842034,,,,57079,538,56265,,1320557,654397,2021-10-31T02:58:59.302439+05:30,96906000,,,,1590948,19110,1563615,,55220133,21195232,76415365.0,1021826.0,73908867.0,1974954.0
2021-10-29,WB,916.0,5.0,797.0,0,703980.0,317846.0,0,1588181.2857142857,19079.714285714286,1561154.0,,53568207.0,20340660.0,Kalimpong,0,0,0,0,0,0,0,,,,,,,251642,,,,7031,54,6942,,180646,122747,2021-10-31T02:58:59.302439+05:30,96906000,,,,1590948,19110,1563615,,55220133,21195232,76415365.0,1021826.0,73908867.0,303393.0
2021-10-29,WB,916.0,5.0,797.0,0,703980.0,317846.0,0,1588181.2857142857,19079.714285714286,1561154.0,,53568207.0,20340660.0,Jalpaiguri,0,0,0,0,0,0,0,,,,,,,3869675,,,,41952,571,41222,,1124349,398014,2021-10-31T02:58:59.302439+05:30,96906000,,,,1590948,19110,1563615,,55220133,21195232,76415365.0,1021826.0,73908867.0,1522363.0
2021-10-29,WB,916.0,5.0,797.0,0,703980.0,317846.0,0,1588181.2857142857,19079.714285714286,1561154.0,,53568207.0,20340660.0,Uttar Dinajpur,0,0,0,0,0,0,0,,,,,,,3000849,,,,19847,238,19545,,1330968,432780,2021-10-31T02:58:59.302439+05:30,96906000,,,,1590948,19110,1563615,,55220133,21195232,76415365.0,1021826.0,73908867.0,1763748.0
2021-10-29,WB,916.0,5.0,797.0,0,703980.0,317846.0,0,1588181.2857142857,19079.714285714286,1561154.0,,53568207.0,20340660.0,Dakshin Dinajpur,0,0,0,0,0,0,0,,,,,,,1670931,,,,17859,170,17541,,1054573,358471,2021-10-31T02:58:59.302439+05:30,96906000,,,,1590948,19110,1563615,,55220133,21195232,76415365.0,1021826.0,73908867.0,1413044.0
2021-10-29,WB,916.0,5.0,797.0,0,703980.0,317846.0,0,1588181.2857142857,19079.714285714286,1561154.0,,53568207.0,20340660.0,Malda,0,0,0,0,0,0,0,,,,,,,3997970,,,,33362,186,33105,,2005022,580282,2021-10-31T02:58:59.302439+05:30,96906000,,,,1590948,19110,1563615,,55220133,21195232,76415365.0,1021826.0,73908867.0,2585304.0
2021-10-29,WB,916.0,5.0,797.0,0,703980.0,317846.0,0,1588181.2857142857,19079.714285714286,1561154.0,,53568207.0,20340660.0,Murshidabad,0,0,0,0,0,0,0,,,,,,,7102430,,,,33978,327,33591,,3777532,955698,2021-10-31T02:58:59.302439+05:30,96906000,,,,1590948,19110,1563615,,55220133,21195232,76415365.0,1021826.0,73908867.0,4733230.0
2021-10-29,WB,916.0,5.0,797.0,0,703980.0,317846.0,0,1588181.2857142857,19079.714285714286,1561154.0,,53568207.0,20340660.0,Nadia,0,0,0,0,0,0,0,,,,,,,5168488,,,,73257,858,71959,,2702259,854920,2021-10-31T02:58:59.302439+05:30,96906000,,,,1590948,19110,1563615,,55220133,21195232,76415365.0,1021826.0,73908867.0,3557179.0
2021-10-29,WB,916.0,5.0,797.0,0,703980.0,317846.0,0,1588181.2857142857,19079.714285714286,1561154.0,,53568207.0,20340660.0,Birbhum,0,0,0,0,0,0,0,,,,,,,3502387,,,,41142,286,40689,,1334066,523500,2021-10-31T02:58:59.302439+05:30,96906000,,,,1590948,19110,1563615,,55220133,21195232,76415365.0,1021826.0,73908867.0,1857566.0
2021-10-29,WB,916.0,5.0,797.0,0,703980.0,317846.0,0,1588181.2857142857,19079.714285714286,1561154.0,,53568207.0,20340660.0,Purulia,0,0,0,0,0,0,0,,,,,,,2927965,,,,19415,113,19277,,1644322,484963,2021-10-31T02:58:59.302439+05:30,96906000,,,,1590948,19110,1563615,,55220133,21195232,76415365.0,1021826.0,73908867.0,2129285.0
2021-10-29,WB,916.0,5.0,797.0,0,703980.0,317846.0,0,1588181.2857142857,19079.714285714286,1561154.0,,53568207.0,20340660.0,Bankura,0,0,0,0,0,0,0,,,,,,,3596292,,,,36258,274,35798,,1457459,470062,2021-10-31T02:58:59.302439+05:30,96906000,,,,1590948,19110,1563615,,55220133,21195232,76415365.0,1021826.0,73908867.0,1927521.0
2021-10-29,WB,916.0,5.0,797.0,0,703980.0,317846.0,0,1588181.2857142857,19079.714285714286,1561154.0,,53568207.0,20340660.0,Jhargram,0,0,0,0,0,0,0,,,,,,,1136548,,,,12130,27,12053,,707468,208263,2021-10-31T02:58:59.302439+05:30,96906000,,,,1590948,19110,1563615,,55220133,21195232,76415365.0,1021826.0,73908867.0,915731.0
2021-10-29,WB,916.0,5.0,797.0,0,703980.0,317846.0,0,1588181.2857142857,19079.714285714286,1561154.0,,53568207.0,20340660.0,Paschim Medinipur,0,0,0,0,0,0,0,,,,,,,5094238,,,,53533,506,52764,,2710329,867508,2021-10-31T02:58:59.302439+05:30,96906000,,,,1590948,19110,1563615,,55220133,21195232,76415365.0,1021826.0,73908867.0,3577837.0
2021-10-29,WB,916.0,5.0,797.0,0,703980.0,317846.0,0,1588181.2857142857,19079.714285714286,1561154.0,,53568207.0,20340660.0,Purba Medinipur,0,0,0,0,0,0,0,,,,,,,4417377,,,,63066,396,62516,,3539866,1454681,2021-10-31T02:58:59.302439+05:30,96906000,,,,1590948,19110,1563615,,55220133,21195232,76415365.0,1021826.0,73908867.0,4994547.0
2021-10-29,WB,916.0,5.0,797.0,0,703980.0,317846.0,0,1588181.2857142857,19079.714285714286,1561154.0,,53568207.0,20340660.0,Purba Bardhaman,0,0,0,0,0,0,0,,,,,,,4835532,,,,41967,198,41538,,2571609,851883,2021-10-31T02:58:59.302439+05:30,96906000,,,,1590948,19110,1563615,,55220133,21195232,76415365.0,1021826.0,73908867.0,3423492.0
2021-10-29,WB,916.0,5.0,797.0,0,703980.0,317846.0,0,1588181.2857142857,19079.714285714286,1561154.0,,53568207.0,20340660.0,Paschim Bardhaman,0,0,0,0,0,0,0,57621.71428571428,355.7142857142857,57074.0,,1730526.857142857,632582.5714285715,2882031,,,,57709,356,57136,,1775148,666414,2021-10-31T02:58:59.302439+05:30,96906000,,,,1590948,19110,1563615,,55220133,21195232,76415365.0,1021826.0,73908867.0,2441562.0
2021-10-29,WB,916.0,5.0,797.0,0,703980.0,317846.0,0,1588181.2857142857,19079.714285714286,1561154.0,,53568207.0,20340660.0,Howrah,0,0,0,0,0,0,0,,,,,,,4841638,,,,98602,1524,96424,,2831436,1229924,2021-10-31T02:58:59.302439+05:30,96906000,,,,1590948,19110,1563615,,55220133,21195232,76415365.0,1021826.0,73908867.0,4061360.0
2021-10-29,WB,916.0,5.0,797.0,0,703980.0,317846.0,0,1588181.2857142857,19079.714285714286,1561154.0,,53568207.0,20340660.0,Hooghly,0,0,0,0,0,0,0,,,,,,,5520389,,,,86169,990,84504,,3240607,1315990,2021-10-31T02:58:59.302439+05:30,96906000,,,,1590948,19110,1563615,,55220133,21195232,76415365.0,1021826.0,73908867.0,4556597.0
2021-10-29,WB,916.0,5.0,797.0,0,703980.0,317846.0,0,1588181.2857142857,19079.714285714286,1561154.0,,53568207.0,20340660.0,North 24 Parganas,0,0,0,0,0,0,0,,,,,,,10082852,,,,328965,4822,322807,,1236512,457769,2021-10-31T02:58:59.302439+05:30,96906000,,,,1590948,19110,1563615,,55220133,21195232,76415365.0,1021826.0,73908867.0,1694281.0
2021-10-29,WB,916.0,5.0,797.0,0,703980.0,317846.0,0,1588181.2857142857,19079.714285714286,1561154.0,,53568207.0,20340660.0,South 24 Parganas,0,0,0,0,0,0,0,,,,,,,8153176,,,,100797,1335,98806,,1859548,684253,2021-10-31T02:58:59.302439+05:30,96906000,,,,1590948,19110,1563615,,55220133,21195232,76415365.0,1021826.0,73908867.0,2543801.0
2021-10-29,WB,916.0,5.0,797.0,0,703980.0,317846.0,0,1588181.2857142857,19079.714285714286,1561154.0,,53568207.0,20340660.0,Kolkata,0,0,0,0,0,0,0,,,,,,,4486679,,,,321995,5142,314668,,4778031,3008092,2021-10-31T02:58:59.302439+05:30,96906000,,,,1590948,19110,1563615,,55220133,21195232,76415365.0,1021826.0,73908867.0,7786123.0
