Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState,deltaVaccinatedForState,7DmaVaccinatedForState,cumulativeVaccinatedNumberForDistrict
2021-10-29,PB,29.0,1.0,25.0,0,21696.0,25325.0,0,602263.5714285715,16554.0,585471.0,,15817658.0,6097027.0,Amritsar,0,0,0,0,0,0,0,47361.42857142857,1596.857142857143,45749.857142857145,,1248870.857142857,435473.0,2490891,,,,47369,1598,45753,,1260744,444305,2021-10-30 21:28:01.393615,29859000,,,,602349,16557,585539,,15906819,6194239,22101058.0,47021.0,21914686.0,1705049.0
2021-10-29,PB,29.0,1.0,25.0,0,21696.0,25325.0,0,602263.5714285715,16554.0,585471.0,,15817658.0,6097027.0,Barnala,0,0,0,0,0,0,0,5948.428571428572,244.0,5696.0,,322033.28571428574,100720.14285714286,596294,,,,5949,244,5696,,326095,102962,2021-10-30 21:28:01.393615,29859000,,,,602349,16557,585539,,15906819,6194239,22101058.0,47021.0,21914686.0,429057.0
2021-10-29,PB,29.0,1.0,25.0,0,21696.0,25325.0,0,602263.5714285715,16554.0,585471.0,,15817658.0,6097027.0,Bathinda,0,0,0,0,0,0,0,41717.857142857145,1042.0,40662.42857142857,,618512.7142857143,197956.42857142858,1388859,,,,41723,1042,40664,,622019,200899,2021-10-30 21:28:01.393615,29859000,,,,602349,16557,585539,,15906819,6194239,22101058.0,47021.0,21914686.0,822918.0
2021-10-29,PB,29.0,1.0,25.0,0,21696.0,25325.0,0,602263.5714285715,16554.0,585471.0,,15817658.0,6097027.0,Faridkot,0,0,0,0,0,0,0,13921.142857142857,315.0,13596.142857142857,,328610.0,125746.85714285714,618008,,,,13923,315,13597,,330028,127581,2021-10-30 21:28:01.393615,29859000,,,,602349,16557,585539,,15906819,6194239,22101058.0,47021.0,21914686.0,457609.0
2021-10-29,PB,29.0,1.0,25.0,0,21696.0,25325.0,0,602263.5714285715,16554.0,585471.0,,15817658.0,6097027.0,Fatehgarh Sahib,0,0,0,0,0,0,0,8874.285714285714,334.7142857142857,8537.714285714286,,353345.85714285716,132272.57142857142,599814,,,,8875,335,8538,,354434,134437,2021-10-30 21:28:01.393615,29859000,,,,602349,16557,585539,,15906819,6194239,22101058.0,47021.0,21914686.0,488871.0
2021-10-29,PB,29.0,1.0,25.0,0,21696.0,25325.0,0,602263.5714285715,16554.0,585471.0,,15817658.0,6097027.0,Fazilka,0,0,0,0,0,0,0,20264.14285714286,528.0,19726.285714285714,,485331.5714285714,128180.0,1180483,,,,20266,528,19728,,488873,130440,2021-10-30 21:28:01.393615,29859000,,,,602349,16557,585539,,15906819,6194239,22101058.0,47021.0,21914686.0,619313.0
2021-10-29,PB,29.0,1.0,25.0,0,21696.0,25325.0,0,602263.5714285715,16554.0,585471.0,,15817658.0,6097027.0,Ferozepur,0,0,0,0,0,0,0,14338.142857142857,504.0,13824.714285714286,,473709.5714285714,125237.28571428571,2026831,,,,14342,504,13826,,475792,127433,2021-10-30 21:28:01.393615,29859000,,,,602349,16557,585539,,15906819,6194239,22101058.0,47021.0,21914686.0,603225.0
2021-10-29,PB,29.0,1.0,25.0,0,21696.0,25325.0,0,602263.5714285715,16554.0,585471.0,,15817658.0,6097027.0,Gurdaspur,0,0,0,0,0,0,0,22379.0,800.0,21574.428571428572,,849762.1428571428,397718.14285714284,2299026,,,,22380,800,21576,,857961,409452,2021-10-30 21:28:01.393615,29859000,,,,602349,16557,585539,,15906819,6194239,22101058.0,47021.0,21914686.0,1267413.0
2021-10-29,PB,29.0,1.0,25.0,0,21696.0,25325.0,0,602263.5714285715,16554.0,585471.0,,15817658.0,6097027.0,Hoshiarpur,0,0,0,0,0,0,0,30814.14285714286,984.0,29819.85714285714,,996487.0,563420.0,1582793,,,,30817,984,29824,,999369,571235,2021-10-30 21:28:01.393615,29859000,,,,602349,16557,585539,,15906819,6194239,22101058.0,47021.0,21914686.0,1570604.0
2021-10-29,PB,29.0,1.0,25.0,0,21696.0,25325.0,0,602263.5714285715,16554.0,585471.0,,15817658.0,6097027.0,Jalandhar,0,0,0,0,0,0,0,63382.42857142857,1495.5714285714287,61855.857142857145,,1425156.2857142857,667485.2857142857,2181753,,,,63390,1496,61861,,1431256,677304,2021-10-30 21:28:01.393615,29859000,,,,602349,16557,585539,,15906819,6194239,22101058.0,47021.0,21914686.0,2108560.0
