Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState,cumulativeVaccinatedNumberForDistrict,deltaVaccinatedForDistrict,deltaVaccinatedForState,delta7ConfirmedForState,delta7DeceasedForState,delta7RecoveredForState,delta7VaccinatedForState,delta7TestedForState,delta7ConfirmedForDistrict,delta7DeceasedForDistrict,delta7RecoveredForDistrict,delta7VaccinatedForDistrict,delta21_14ConfirmedForState,delta21_14ConfirmedForDistrict,7DmaVaccinatedForState,7DmaVaccinatedForDistrict
2021-10-29,JK,90,0,81,39678.0,4262,59438,0,331717.0,4430.0,326431.0,15979137.0,9484136.0,4801743.0,Jammu,2,0,6,0,725,2872,0,0,0,52111,0,0,0,1526406,2021-10-29 17:00:00+05:30,https://twitter.com/diprjk,,53317,1145,52132,,1167788,607174,2021-10-29 17:00:00+05:30,13203000,2021-10-29 17:00:00+05:30,https://twitter.com/diprjk,,332053,4432,326749,16124429,9505266,5038168,14543434.0,1774962.0,773534.0,63700.0,559,3,554,425572.0,247874.0,38890,979,37897,,533,28.0,14285879.0,0
2021-10-29,JK,90,0,81,39678.0,4262,59438,0,331717.0,4430.0,326431.0,15979137.0,9484136.0,4801743.0,Udhampur,0,0,1,0,410,1717,0,0,0,11273,0,0,0,555357,2021-10-29 17:00:00+05:30,https://twitter.com/diprjk,,11413,137,11274,,425446,225252,2021-10-29 17:00:00+05:30,13203000,2021-10-29 17:00:00+05:30,https://twitter.com/diprjk,,332053,4432,326749,16124429,9505266,5038168,14543434.0,650698.0,-18235.0,63700.0,559,3,554,425572.0,247874.0,-4094,-57,-4030,,533,3.0,14285879.0,0
2021-10-29,JK,90,0,81,39678.0,4262,59438,0,331717.0,4430.0,326431.0,15979137.0,9484136.0,4801743.0,Rajouri,0,0,1,0,257,1843,0,0,0,11025,0,0,0,619266,2021-10-29 17:00:00+05:30,https://twitter.com/diprjk,,11272,237,11029,,498537,239432,2021-10-29 17:00:00+05:30,13203000,2021-10-29 17:00:00+05:30,https://twitter.com/diprjk,,332053,4432,326749,16124429,9505266,5038168,14543434.0,737969.0,128452.0,63700.0,559,3,554,425572.0,247874.0,4802,139,4672,,533,8.0,14285879.0,0
2021-10-29,JK,90,0,81,39678.0,4262,59438,0,331717.0,4430.0,326431.0,15979137.0,9484136.0,4801743.0,Doda,4,0,3,0,156,2773,0,0,0,7683,0,0,0,409576,2021-10-29 17:00:00+05:30,https://twitter.com/diprjk,,7864,133,7701,,313775,155443,2021-10-29 17:00:00+05:30,13203000,2021-10-29 17:00:00+05:30,https://twitter.com/diprjk,,332053,4432,326749,16124429,9505266,5038168,14543434.0,469218.0,-266651.0,63700.0,559,3,554,425572.0,247874.0,-3404,-104,-3323,,533,17.0,14285879.0,0
2021-10-29,JK,90,0,81,39678.0,4262,59438,0,331717.0,4430.0,326431.0,15979137.0,9484136.0,4801743.0,Kathua,0,0,1,0,257,2863,0,0,0,9170,0,0,0,615711,2021-10-29 17:00:00+05:30,https://twitter.com/diprjk,,9327,152,9173,,482206,244553,2021-10-29 17:00:00+05:30,13203000,2021-10-29 17:00:00+05:30,https://twitter.com/diprjk,,332053,4432,326749,16124429,9505266,5038168,14543434.0,726759.0,362936.0,63700.0,559,3,554,425572.0,247874.0,3288,85,3202,,533,2.0,14285879.0,0
2021-10-29,JK,90,0,81,39678.0,4262,59438,0,331717.0,4430.0,326431.0,15979137.0,9484136.0,4801743.0,Samba,0,0,0,0,220,1065,0,0,0,7031,0,0,0,318611,2021-10-29 17:00:00+05:30,https://twitter.com/diprjk,,7152,120,7032,,280491,121148,2021-10-29 17:00:00+05:30,13203000,2021-10-29 17:00:00+05:30,https://twitter.com/diprjk,,332053,4432,326749,16124429,9505266,5038168,14543434.0,401639.0,31152.0,63700.0,559,3,554,425572.0,247874.0,530,77,467,,533,2.0,14285879.0,0
2021-10-29,JK,90,0,81,39678.0,4262,59438,0,331717.0,4430.0,326431.0,15979137.0,9484136.0,4801743.0,Kishtwar,0,0,0,0,256,496,0,0,0,4773,0,0,0,230696,2021-10-29 17:00:00+05:30,https://twitter.com/diprjk,,4819,44,4773,,164517,77047,2021-10-29 17:00:00+05:30,13203000,2021-10-29 17:00:00+05:30,https://twitter.com/diprjk,,332053,4432,326749,16124429,9505266,5038168,14543434.0,241564.0,-158790.0,63700.0,559,3,554,425572.0,247874.0,-2333,-76,-2257,,533,1.0,14285879.0,0
2021-10-29,JK,90,0,81,39678.0,4262,59438,0,331717.0,4430.0,326431.0,15979137.0,9484136.0,4801743.0,Punch,0,0,0,0,74,4390,0,0,0,6363,0,0,0,476820,2021-10-29 17:00:00+05:30,https://twitter.com/diprjk,,6481,98,6371,,385969,228012,2021-10-29 17:00:00+05:30,13203000,2021-10-29 17:00:00+05:30,https://twitter.com/diprjk,,332053,4432,326749,16124429,9505266,5038168,14543434.0,613981.0,318546.0,63700.0,559,3,554,425572.0,247874.0,874,40,822,,533,14.0,14285879.0,0
2021-10-29,JK,90,0,81,39678.0,4262,59438,0,331717.0,4430.0,326431.0,15979137.0,9484136.0,4801743.0,Ramban,1,0,0,0,170,1211,0,0,0,5971,0,0,0,283313,2021-10-29 17:00:00+05:30,https://twitter.com/diprjk,,6041,67,5971,,220261,144943,2021-10-29 17:00:00+05:30,13203000,2021-10-29 17:00:00+05:30,https://twitter.com/diprjk,,332053,4432,326749,16124429,9505266,5038168,14543434.0,365204.0,-1147268.0,63700.0,559,3,554,425572.0,247874.0,-69127,-777,-67907,,533,0.0,14285879.0,0
2021-10-29,JK,90,0,81,39678.0,4262,59438,0,331717.0,4430.0,326431.0,15979137.0,9484136.0,4801743.0,Reasi,0,0,0,0,452,2504,0,0,0,6568,0,0,0,314714,2021-10-29 17:00:00+05:30,https://twitter.com/diprjk,,6626,43,6572,,243838,129605,2021-10-29 17:00:00+05:30,13203000,2021-10-29 17:00:00+05:30,https://twitter.com/diprjk,,332053,4432,326749,16124429,9505266,5038168,14543434.0,373443.0,-275128.0,63700.0,559,3,554,425572.0,247874.0,-4785,-94,-4701,,533,14.0,14285879.0,0
