Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState,cumulativeVaccinatedNumberForDistrict,deltaVaccinatedForDistrict,deltaVaccinatedForState,delta7ConfirmedForState,delta7DeceasedForState,delta7RecoveredForState,delta7VaccinatedForState,delta7TestedForState,delta7ConfirmedForDistrict,delta7DeceasedForDistrict,delta7RecoveredForDistrict,delta7VaccinatedForDistrict,delta21_14ConfirmedForState,delta21_14ConfirmedForDistrict,7DmaVaccinatedForState,7DmaVaccinatedForDistrict
2021-10-29,NL,39,-15,20,0,723,4024,0,31730.0,680.0,29784.0,391568.0,706108.0,473463.0,Dimapur,24,-10,10,0,494,2019,0,0,0,13406,0,0,0,379769,,,,14673,410,13440,,268183,174594,2021-10-31T02:58:46.279407+05:30,2150000,,,,31811,669,29864,,709037,488662,1197699.0,442777.0,2513.0,4747.0,122,-9,126,28793.0,,65,-8,51,,137,87.0,1179571.0,0
2021-10-29,NL,39,-15,20,0,723,4024,0,31730.0,680.0,29784.0,391568.0,706108.0,473463.0,Kiphire,0,0,0,0,3,21,0,0,0,245,0,0,0,74033,,,,256,9,246,,12956,8017,2021-10-31T02:58:46.279407+05:30,2150000,,,,31811,669,29864,,709037,488662,1197699.0,20973.0,24.0,4747.0,122,-9,126,28793.0,,0,0,1,,137,1.0,1179571.0,0
2021-10-29,NL,39,-15,20,0,723,4024,0,31730.0,680.0,29784.0,391568.0,706108.0,473463.0,Kohima,5,-1,5,0,88,465,0,0,0,9075,0,0,0,270063,,,,9454,122,9094,,105734,82526,2021-10-31T02:58:46.279407+05:30,2150000,,,,31811,669,29864,,709037,488662,1197699.0,188260.0,553.0,4747.0,122,-9,126,28793.0,,24,-1,29,,137,26.0,1179571.0,0
2021-10-29,NL,39,-15,20,0,723,4024,0,31730.0,680.0,29784.0,391568.0,706108.0,473463.0,Longleng,0,-2,0,0,0,0,0,0,0,280,0,0,0,50593,,,,307,0,286,,20577,15446,2021-10-31T02:58:46.279407+05:30,2150000,,,,31811,669,29864,,709037,488662,1197699.0,36023.0,0.0,4747.0,122,-9,126,28793.0,,0,-2,7,,137,0.0,1179571.0,0
2021-10-29,NL,39,-15,20,0,723,4024,0,31730.0,680.0,29784.0,391568.0,706108.0,473463.0,Mokokchung,9,0,0,0,42,566,0,0,0,2181,0,0,0,193171,,,,2325,54,2184,,69197,54727,2021-10-31T02:58:46.279407+05:30,2150000,,,,31811,669,29864,,709037,488662,1197699.0,123924.0,608.0,4747.0,122,-9,126,28793.0,,16,2,10,,137,7.0,1179571.0,0
2021-10-29,NL,39,-15,20,0,723,4024,0,31730.0,680.0,29784.0,391568.0,706108.0,473463.0,Mon,0,-2,0,0,40,435,0,0,0,1124,0,0,0,259604,,,,1159,12,1124,,70032,48273,2021-10-31T02:58:46.279407+05:30,2150000,,,,31811,669,29864,,709037,488662,1197699.0,118305.0,475.0,4747.0,122,-9,126,28793.0,,1,-2,0,,137,0.0,1179571.0,0
2021-10-29,NL,39,-15,20,0,723,4024,0,31730.0,680.0,29784.0,391568.0,706108.0,473463.0,Peren,1,0,1,0,16,76,0,0,0,896,0,0,0,163294,,,,920,6,897,,19932,12431,2021-10-31T02:58:46.279407+05:30,2150000,,,,31811,669,29864,,709037,488662,1197699.0,32363.0,92.0,4747.0,122,-9,126,28793.0,,1,0,1,,137,5.0,1179571.0,0
2021-10-29,NL,39,-15,20,0,723,4024,0,31730.0,680.0,29784.0,391568.0,706108.0,473463.0,Phek,0,0,0,0,6,16,0,0,0,567,0,0,0,163294,,,,600,18,568,,31220,20578,2021-10-31T02:58:46.279407+05:30,2150000,,,,31811,669,29864,,709037,488662,1197699.0,51798.0,22.0,4747.0,122,-9,126,28793.0,,7,0,1,,137,6.0,1179571.0,0
2021-10-29,NL,39,-15,20,0,723,4024,0,31730.0,680.0,29784.0,391568.0,706108.0,473463.0,Tuensang,0,0,0,0,9,99,0,0,0,1058,0,0,0,414801,,,,1093,12,1071,,38083,26603,2021-10-31T02:58:46.279407+05:30,2150000,,,,31811,669,29864,,709037,488662,1197699.0,64686.0,108.0,4747.0,122,-9,126,28793.0,,1,1,22,,137,4.0,1179571.0,0
2021-10-29,NL,39,-15,20,0,723,4024,0,31730.0,680.0,29784.0,391568.0,706108.0,473463.0,Wokha,0,0,4,0,19,228,0,0,0,357,0,0,0,166239,,,,401,11,361,,35111,23241,2021-10-31T02:58:46.279407+05:30,2150000,,,,31811,669,29864,,709037,488662,1197699.0,58352.0,247.0,4747.0,122,-9,126,28793.0,,5,0,4,,137,1.0,1179571.0,0
