Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState,cumulativeVaccinatedNumberForDistrict,deltaVaccinatedForDistrict,deltaVaccinatedForState,delta7ConfirmedForState,delta7DeceasedForState,delta7RecoveredForState,delta7VaccinatedForState,delta7TestedForState,delta7ConfirmedForDistrict,delta7DeceasedForDistrict,delta7RecoveredForDistrict,delta7VaccinatedForDistrict,delta21_14ConfirmedForState,delta21_14ConfirmedForDistrict,7DmaVaccinatedForState,7DmaVaccinatedForDistrict
2021-10-29,KL,7722,471,6648,0,18143,134563,0,4922301.0,29068.0,4815106.0,37448243.0,25218431.0,13033670.0,Ernakulam,1047,204,1733,0,2158,15030,0,0,0,576701,0,0,0,3279860,,,,600892,3308,581601,,2950926,1742862,,35125000,,,,4954063,31156,4843576,,25281049,13499901,38780950.0,4693788.0,2337756.0,152706.0,56179,3391,54947,895780.0,,287488,1691,271561,,64172,9468.0,38252101.0,0
2021-10-29,KL,7722,471,6648,0,18143,134563,0,4922301.0,29068.0,4815106.0,37448243.0,25218431.0,13033670.0,Thiruvananthapuram,1087,14,632,0,3487,34592,0,0,0,443932,0,0,0,3307284,,,,462098,4990,446803,,2577836,1555869,,35125000,,,,4954063,31156,4843576,,25281049,13499901,38780950.0,4133705.0,-542895.0,152706.0,56179,3391,54947,895780.0,,-130341,2280,-126558,,64172,8146.0,38252101.0,0
2021-10-29,KL,7722,471,6648,0,18143,134563,0,4922301.0,29068.0,4815106.0,37448243.0,25218431.0,13033670.0,Pathanamthitta,421,39,272,0,673,7444,0,0,0,182707,0,0,0,1195537,,,,192529,1069,184166,,1048124,674999,,35125000,,,,4954063,31156,4843576,,25281049,13499901,38780950.0,1723123.0,389151.0,152706.0,56179,3391,54947,895780.0,,49512,638,47844,,64172,2906.0,38252101.0,0
2021-10-29,KL,7722,471,6648,0,18143,134563,0,4922301.0,29068.0,4815106.0,37448243.0,25218431.0,13033670.0,Palakkad,335,10,257,0,1467,10171,0,0,0,362035,0,0,0,2810892,,,,373118,2860,363448,,1985080,926589,,35125000,,,,4954063,31156,4843576,,25281049,13499901,38780950.0,2911669.0,80906.0,152706.0,56179,3391,54947,895780.0,,101294,900,98137,,64172,3568.0,38252101.0,0
2021-10-29,KL,7722,471,6648,0,18143,134563,0,4922301.0,29068.0,4815106.0,37448243.0,25218431.0,13033670.0,Idukki,431,29,362,0,375,3438,0,0,0,138288,0,0,0,1107453,,,,146288,518,139661,,858839,478946,,35125000,,,,4954063,31156,4843576,,25281049,13499901,38780950.0,1337785.0,-83373.0,152706.0,56179,3391,54947,895780.0,,8844,-35,6194,,64172,3527.0,38252101.0,0
2021-10-29,KL,7722,471,6648,0,18143,134563,0,4922301.0,29068.0,4815106.0,37448243.0,25218431.0,13033670.0,Kollam,805,3,402,0,1352,11800,0,0,0,378423,0,0,0,2629703,,,,389653,2442,381764,,1950319,1041156,,35125000,,,,4954063,31156,4843576,,25281049,13499901,38780950.0,2991475.0,13152.0,152706.0,56179,3391,54947,895780.0,,4737,210,6660,,64172,4322.0,38252101.0,0
2021-10-29,KL,7722,471,6648,0,18143,134563,0,4922301.0,29068.0,4815106.0,37448243.0,25218431.0,13033670.0,Kozhikode,646,6,744,0,1774,8902,0,0,0,514781,0,0,0,3089543,,,,525607,3348,517700,,2338167,1136618,,35125000,,,,4954063,31156,4843576,,25281049,13499901,38780950.0,3474785.0,1175476.0,152706.0,56179,3391,54947,895780.0,,208679,2103,204922,,64172,5845.0,38252101.0,0
2021-10-29,KL,7722,471,6648,0,18143,134563,0,4922301.0,29068.0,4815106.0,37448243.0,25218431.0,13033670.0,Kottayam,597,8,212,0,910,8167,0,0,0,314382,0,0,0,1979384,,,,321416,1342,315543,,1476470,831916,,35125000,,,,4954063,31156,4843576,,25281049,13499901,38780950.0,2308386.0,-1155723.0,152706.0,56179,3391,54947,895780.0,,-198951,-1497,-196949,,64172,4944.0,38252101.0,0
2021-10-29,KL,7722,471,6648,0,18143,134563,0,4922301.0,29068.0,4815106.0,37448243.0,25218431.0,13033670.0,Wayanad,257,0,195,0,269,3657,0,0,0,119810,0,0,0,816558,,,,125153,518,120776,,658824,427059,,35125000,,,,4954063,31156,4843576,,25281049,13499901,38780950.0,1085883.0,-2820577.0,152706.0,56179,3391,54947,895780.0,,-438931,-1912,-437554,,64172,1860.0,38252101.0,0
2021-10-29,KL,7722,471,6648,0,18143,134563,0,4922301.0,29068.0,4815106.0,37448243.0,25218431.0,13033670.0,Kannur,336,81,461,0,1079,8583,0,0,0,266747,0,0,0,2525637,,,,274611,2313,268567,,1889858,950567,,35125000,,,,4954063,31156,4843576,,25281049,13499901,38780950.0,2840425.0,-59606.0,152706.0,56179,3391,54947,895780.0,,-95919,-377,-92075,,64172,3753.0,38252101.0,0
