"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","87599","29","85464","2106"
"2","SAS Nagar","68806","31","67707","1068"
"3","Jalandhar","63381","29","61856","1496"
"4","Patiala","48925","17","47550","1358"
"5","Amritsar","47361","14","45751","1596"
"6","Bathinda","41717","11","40664","1042"
"7","Hoshiarpur","30813","9","29820","984"
"8","Gurdaspur","22379","4","21575","800"
"9","Fazilka","20263","9","19726","528"
"10","Pathankot","18797","11","18367","419"
"11","Muktsar","18782","1","18257","524"
"12","Kapurthala","17850","4","17290","556"
"13","Sangrur","15760","4","14881","875"
"14","Mansa","15606","1","15225","380"
"15","Ferozepur","14337","7","13826","504"
"16","Faridkot","13922","10","13597","315"
"17","Ropar","12945","11","12511","423"
"18","SBS Nagar","11468","0","11080","388"
"19","FG Sahib","8874","1","8538","335"
"20","Moga","8674","8","8433","233"
"21","Tarn Taran","8043","6","7657","380"
"22","Barnala","5949","9","5696","244"
"","Total","602251","226","585471","16554"
