,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,Alluri Sitharama Raju,0,0,0,0,2316687,14730,2304845,33482472
1,Anakapalli,0,0,0,0,2316687,14730,2304845,33482472
2,Anantapur,177611,0,0,0,2316687,14730,2304845,33482472
3,Annamayya,0,0,0,0,2316687,14730,2304845,33482472
4,Bapatla,0,0,0,0,2316687,14730,2304845,33482472
5,Chittoor,272394,0,0,0,2316687,14730,2304845,33482472
6,East Godavari,316586,0,0,0,2316687,14730,2304845,33482472
7,Eluru,0,0,0,0,2316687,14730,2304845,33482472
8,Guntur,203245,0,0,0,2316687,14730,2304845,33482472
9,Kakinada,0,0,0,0,2316687,14730,2304845,33482472
10,Konaseema,0,0,0,0,2316687,14730,2304845,33482472
11,Krishna,136896,0,0,0,2316687,14730,2304845,33482472
12,Kurnool,144244,0,0,0,2316687,14730,2304845,33482472
13,Nandyal,0,0,0,0,2316687,14730,2304845,33482472
14,NTR District,0,0,0,0,2316687,14730,2304845,33482472
15,Palnadu,0,0,0,0,2316687,14730,2304845,33482472
16,Parvathipuram Manyam,0,0,0,0,2316687,14730,2304845,33482472
17,Prakasam,155937,0,0,0,2316687,14730,2304845,33482472
18,S.P.S. Nellore,164374,0,0,0,2316687,14730,2304845,33482472
19,Sri Sathya Sai,0,0,0,0,2316687,14730,2304845,33482472
20,Srikakulam,133952,0,0,0,2316687,14730,2304845,33482472
21,Tirupati,0,0,0,0,2316687,14730,2304845,33482472
22,Visakhapatnam,190940,0,0,0,2316687,14730,2304845,33482472
23,Vizianagaram,92242,0,0,0,2316687,14730,2304845,33482472
24,West Godavari,193378,0,0,0,2316687,14730,2304845,33482472
25,Y.S.R. Kadapa,134888,0,0,0,2316687,14730,2304845,33482472
