"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","18,819"
"2","Number of persons tested positive today in Tamil Nadu","2,533"
"","Passengers returned from other countries  by 
International airport tested positive today","UK-2"
"","Passengers returned from other states  by Domestic 
airport tested positive today","Maharashtra-1 
Delhi-1"
"","Total","2,537"
"3","Total Number of persons tested positive till date","35,01,529"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","34,469/ 
6,74,67,794@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","33,616/ 
6,62,81,229"
"6","No. of Male / Female / Transgender tested positive today","1,418/1,119/0"
"7","No. of Male / Female / Transgender tested positive till date","20,41,765/14,59,726/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","339 (70 Govt+ 
269 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","2,560/ 
34,44,682"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,028"
