,Unnamed: 0,44,Unnamed: 1,फतहेपरु,Unnamed: 2,60,Unnamed: 3,47,Unnamed: 4,6994,Unnamed: 5,0,Unnamed: 6,140,Unnamed: 7,513,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,,45,,जौनपरु,,62.0,,103.0,,23139.0,,0.0,,239.0,,474.0,,,,,
1,,46,,र मपरु,,62.0,,107.0,,13903.0,,0.0,,151.0,,453.0,,,,,
2,,47,,अमठेी,,37.0,,85.0,,10550.0,,0.0,,143.0,,414.0,,,,,
3,,48,,उन्न व,,19.0,,100.0,,15526.0,,0.0,,254.0,,390.0,,,,,
4,,49,,सभंल,,38.0,,122.0,,10453.0,,0.0,,108.0,,360.0,,,,,
5,,50,,अयोध्य,,28.0,,89.0,,17967.0,,0.0,,291.0,,343.0,,,,,
6,,51,,चदंौली,,34.0,,87.0,,16791.0,,0.0,,364.0,,340.0,,,,,
7,,52,,क्रिरोजाबाद,,20.0,,93.0,,9896.0,,0.0,,136.0,,317.0,,,,,
8,,53,,बसलय,,27.0,,29.0,,21856.0,,1.0,,239.0,,315.0,,,,,
9,,54,,ब द,,45.0,,22.0,,11161.0,,1.0,,162.0,,312.0,,,,,
10,,55,,बागपत,,79.0,,119.0,,10481.0,,0.0,,139.0,,311.0,,,,,
11,,56,,मह र जगजं,,73.0,,164.0,,13090.0,,0.0,,142.0,,307.0,,,,,
12,,57,,बस्ती,,23.0,,55.0,,12181.0,,0.0,,331.0,,287.0,,,,,
13,,58,,क नपरु देह त,,52.0,,43.0,,6377.0,,0.0,,110.0,,269.0,,,,,
14,,59,,मनैपरुी,,23.0,,100.0,,10977.0,,0.0,,188.0,,265.0,,,,,
15,,60,,भदोही,,34.0,,46.0,,7791.0,,0.0,,164.0,,258.0,,,,,
16,,61,,बलर मपरु,,37.0,,26.0,,7681.0,,0.0,,138.0,,248.0,,,,,
17,,62,,कुशीनगर,,25.0,,8.0,,15605.0,,0.0,,228.0,,243.0,,,,,
18,,63,,अम्बडेकर नगर,,23.0,,38.0,,5284.0,,0.0,,155.0,,237.0,,,,,
19,,64,,औरैय्य,,10.0,,39.0,,10277.0,,1.0,,208.0,,219.0,,,,,
20,,65,,श्र वस्ती,,29.0,,23.0,,4656.0,,0.0,,37.0,,210.0,,,,,
21,,66,,हमीरपरु,,9.0,,16.0,,5333.0,,0.0,,102.0,,203.0,,,,,
22,,67,,चचत्रकट,,33.0,,33.0,,7250.0,,0.0,,79.0,,184.0,,,,,
23,,68,,प्रतापगढ़,,16.0,,29.0,,16128.0,,0.0,,164.0,,179.0,,,,,
24,,69,,समर् परु,,13.0,,48.0,,11543.0,,0.0,,118.0,,170.0,,,,,
25,,70,,मऊ,,11.0,,52.0,,8565.0,,0.0,,81.0,,153.0,,,,,
26,,71,,सतं कबीर नगर,,11.0,,61.0,,8344.0,,0.0,,98.0,,153.0,,,,,
27,,72,,कौश म्बी,,24.0,,16.0,,4431.0,,0.0,,71.0,,135.0,,,,,
28,,73,,क सगजं,,1.0,,21.0,,4653.0,,0.0,,54.0,,94.0,,,,,
29,,74,,ह थरस,,7.0,,27.0,,3543.0,,0.0,,43.0,,88.0,,,,,
30,,75,,महोब,,6.0,,15.0,,4261.0,,0.0,,86.0,,42.0,,,,,
31,,Total,,,,,,,8901.0,,16786.0,,1893577.0,,20.0,,23125.0,,72393.0,,
32,,कोविड धनात्मक रोवियो ने कुल मृतु्य - 23125 इन रोवियो म मृतु्य का सही कारण मृतु्य ऑवडट के उपरात वनधाररत होिा),,,,,,,,,,,,,,,,,,,
