,Unnamed: 0,44,Unnamed: 1,ब द,Unnamed: 2,8,Unnamed: 3,14,Unnamed: 4,11936,Unnamed: 5,0,Unnamed: 6,165,Unnamed: 7,67,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,,45,,कुशीनगर,,5.0,,18.0,,16102.0,,0.0,,235.0,,67.0,,,,,
1,,46,,हमीरपरु,,7.0,,15.0,,5924.0,,0.0,,102.0,,65.0,,,,,
2,,47,,बबजनौर,,9.0,,13.0,,18197.0,,0.0,,139.0,,62.0,,,,,
3,,48,,प्रतापगढ़,,6.0,,18.0,,16588.0,,0.0,,163.0,,61.0,,,,,
4,,49,,अयोध्य,,7.0,,8.0,,18569.0,,0.0,,292.0,,56.0,,,,,
5,,50,,इट व,,5.0,,8.0,,15683.0,,0.0,,296.0,,55.0,,,,,
6,,51,,मरुादाबाद,,3.0,,18.0,,45997.0,,1.0,,367.0,,53.0,,,,,
7,,52,,फर्रख ब द,,2.0,,5.0,,11804.0,,0.0,,197.0,,52.0,,,,,
8,,53,,बस्ती,,9.0,,6.0,,12706.0,,0.0,,336.0,,51.0,,,,,
9,,54,,औरैय्य,,3.0,,8.0,,10718.0,,0.0,,210.0,,45.0,,,,,
10,,55,,चदंौली,,2.0,,9.0,,17454.0,,0.0,,376.0,,45.0,,,,,
11,,56,,कौश म्बी,,8.0,,4.0,,4784.0,,0.0,,72.0,,44.0,,,,,
12,,57,,बलर मपरु,,2.0,,4.0,,8057.0,,0.0,,139.0,,41.0,,,,,
13,,58,,बागपत,,1.0,,7.0,,10967.0,,0.0,,143.0,,39.0,,,,,
14,,59,,सहारनपरु,,2.0,,11.0,,38266.0,,0.0,,426.0,,39.0,,,,,
15,,60,,महोब,,0.0,,8.0,,4417.0,,0.0,,88.0,,37.0,,,,,
16,,61,,मनैपरुी,,2.0,,6.0,,11404.0,,0.0,,189.0,,35.0,,,,,
17,,62,,मर्रु,,10.0,,21.0,,25456.0,,0.0,,406.0,,34.0,,,,,
18,,63,,सभंल,,2.0,,7.0,,10984.0,,0.0,,109.0,,33.0,,,,,
19,,64,,सतं कबीर नगर,,1.0,,2.0,,8789.0,,0.0,,101.0,,32.0,,,,,
20,,65,,शामली,,4.0,,9.0,,16635.0,,0.0,,48.0,,32.0,,,,,
21,,66,,बललय,,2.0,,2.0,,22478.0,,0.0,,245.0,,31.0,,,,,
22,,67,,एट,,0.0,,3.0,,12037.0,,0.0,,100.0,,29.0,,,,,
23,,68,,लमर् परु,,3.0,,5.0,,11912.0,,0.0,,121.0,,27.0,,,,,
24,,69,,क्रिरोजाबाद,,7.0,,5.0,,10477.0,,0.0,,136.0,,26.0,,,,,
25,,70,,मऊ,,0.0,,3.0,,8894.0,,0.0,,85.0,,26.0,,,,,
26,,71,,र मपरु,,0.0,,1.0,,14570.0,,0.0,,153.0,,24.0,,,,,
27,,72,,चचत्रकट,,1.0,,4.0,,7707.0,,0.0,,79.0,,18.0,,,,,
28,,73,,ह र्रस,,0.0,,6.0,,3694.0,,0.0,,43.0,,16.0,,,,,
29,,74,,क सगजं,,1.0,,5.0,,4849.0,,0.0,,55.0,,16.0,,,,,
30,,75,,हापड़ु,,1.0,,13.0,,15151.0,,0.0,,222.0,,12.0,,,,,
31,,Total,,,,,,,923.0,,2362.0,,2027033.0,,10.0,,23414.0,,10966.0,,
32,,कोविड धनात्मक रोवियो ने कुल मृतु्य - 23414 इन रोवियो म मृतु्य का सही कारण मृतु्य ऑवडट के उपरात वनधाररत होिा),,,,,,,,,,,,,,,,,,,
