District,Recovered,Deceased,Active
ब द,11936,165,67
कुशीनगर,16102.0,235.0,67.0
हमीरपरु,5924.0,102.0,65.0
बबजनौर,18197.0,139.0,62.0
प्रतापगढ़,16588.0,163.0,61.0
अयोध्य,18569.0,292.0,56.0
इट व,15683.0,296.0,55.0
मरुादाबाद,45997.0,367.0,53.0
फर्रख ब द,11804.0,197.0,52.0
बस्ती,12706.0,336.0,51.0
औरैय्य,10718.0,210.0,45.0
चदंौली,17454.0,376.0,45.0
कौश म्बी,4784.0,72.0,44.0
बलर मपरु,8057.0,139.0,41.0
बागपत,10967.0,143.0,39.0
सहारनपरु,38266.0,426.0,39.0
महोब,4417.0,88.0,37.0
मनैपरुी,11404.0,189.0,35.0
मर्रु,25456.0,406.0,34.0
सभंल,10984.0,109.0,33.0
सतं कबीर नगर,8789.0,101.0,32.0
शामली,16635.0,48.0,32.0
बललय,22478.0,245.0,31.0
एट,12037.0,100.0,29.0
लमर् परु,11912.0,121.0,27.0
क्रिरोजाबाद,10477.0,136.0,26.0
मऊ,8894.0,85.0,26.0
र मपरु,14570.0,153.0,24.0
चचत्रकट,7707.0,79.0,18.0
ह र्रस,3694.0,43.0,16.0
क सगजं,4849.0,55.0,16.0
हापड़ु,15151.0,222.0,12.0
