"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"11","Solapur","229167","223229","5894","44"
"12","Nashik","478429","469354","8918","157"
"13","Ahmednagar","380678","373344","7251","83"
"14","Jalgaon","150197","147428","2762","7"
"15","Nandurbar","46968","46001","963","4"
"16","Dhule","51444","50766","670","8"
"17","Aurangabad","178644","174335","4288","21"
"18","Jalna","67495","66241","1226","28"
"19","Beed","109710","106816","2889","5"
"20","Latur","106382","103843","2489","50"
"21","Parbhani","58795","57508","1281","6"
"22","Hingoli","22446","21923","516","7"
"23","Nanded","103294","100583","2704","7"
"24","Osmanabad","76704","74523","2139","42"
"25","Amravati","106992","105349","1626","17"
"26","Akola","66960","65447","1476","37"
"27","Washim","47351","46683","641","27"
"28","Buldhana","93142","92285","839","18"
"29","Yavatmal","82627","80802","1820","5"
"30","Nagpur","585656","576310","9224","122"
"31","Wardha","66344","64931","1410","3"
"32","Bhandara","69857","68699","1142","16"
"33","Gondia","45976","45379","588","9"
"34","Chandrapur","100040","98406","1596","38"
