"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","203","1147580","2","19721"
"2","Thane","9","120915","0","2290"
"3","TMC","43","202606","2","2190"
"4","Navi Mumbai","57","180746","0","2096"
"5","KDMC","12","180034","0","2978"
"6","Ulhasnagar MC","5","27287","0","686"
"7","Bhivandi Nijampur MC","1","13410","0","496"
"8","Mira Bhayandar MC","11","79827","0","1236"
"9","Palghar","12","65692","0","1244"
"10","Vasai Virar MC","14","102618","0","2176"
"11","Raigad","35","144283","1","3482"
"12","Panvel MC","18","111250","0","1487"
"","Mumbai circle total","420","2376248","5","40082"
"13","Nashik","8","186205","0","3817"
"14","Nashik MC","10","281076","0","4756"
"15","Malegaon MC","0","11148","0","345"
