"Districts","Samples 
Sent to 
Labs 
Today","Negative","","Positive","","Cumulative 
Samples 
Tested 
Since 
01.01.2022","Results 
Awaited 
(including sample 
sent to labs today)"
"","","Negative 
in last 24 
hours","Negative 
Cumulative 
Since 
01.01.2022","Positive 
in last 24 
hours","Positive 
Cumulative 
Since 
01.01.2022","",""
"Almora","55","217","54115","6","4463","58572","71"
"Bageshwar","91","11","29024","0","2074","31094","215"
"Chamoli","88","540","37435","0","3172","40605","77"
"Champawat","4","447","45407","1","1879","47283","369"
"Dehradun","798","1352","316769","22","32537","349171","458"
"Haridwar","177","284","284181","3","12871","297022","250"
"Nainital","132","312","60490","10","11245","71665","73"
"Pauri Garhwal","330","757","69548","2","5218","74759","131"
"Pithoragarh","114","3","32744","0","2536","35268","641"
"Rudraprayag","47","26","21574","0","2681","24255","256"
"Tehri Garhwal","43","260","24724","0","2334","27051","175"
"US Nagar","718","631","109506","1","8761","118243","432"
"Uttarkashi","93","323","27483","2","1626","29107","56"
"Total","2690","5163","1113000","47","91397","1204095","3204"
