"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","174","357","2087"
"Kollam","120","715","698"
"Pathanamthitta","99","194","626"
"Alappuzha","72","163","671"
"Kottayam","188","186","1628"
"Idukki","85","164","1205"
"Ernakulam","204","406","2667"
"Thrissur","119","212","1229"
"Palakkad","47","32","64"
"Malappuram","69","111","736"
"Kozhikode","96","201","1135"
"Wayanad","61","107","689"
"Kannur","52","118","576"
"Kasaragod","22","67","142"
"Total","1408","3033","14153"
