"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)*","","",""
"","","","","","","","","Coverage of Vaccination  
on 03-08-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"","1  Gurugram","361","1006","289242","287223[237]","99.30","1013","133","428","2238","5604205"
"2","Faridabad","81","396","133329","132192[29]","99.15","741","45","83","751","4142077"
"3  Hisar","","62","128","62973","61669[29]","97.93","1176","91","468","487","2403280"
"4","Sonipat","12","52","59110","58782[17]","99.45","276","40","408","415","2332226"
"5","Karnal","55","253","49407","48556[30]","98.28","598","50","97","157","2436960"
"6","Panchkula","82","389","47019","46212[108]","98.28","418","42","75","613","1163922"
"7  Ambala","","67","293","42026","41191[55]","98.01","542","42","106","721","2186644"
"8","Panipat","15","58","36441","35709[17]","97.99","674","11","51","249","2105289"
"9","Sirsa","4","69","33860","33251[19]","98.20","540","15","102","241","1970386"
"10  Rohtak","","19","136","32582","31892[11]","97.88","537","36","606","400","1786109"
"","11  Yamunanagar","77","180","31569","30932[51]","97.98","457","17","171","372","2013330"
"","12  Kurukshetra","27","128","27439","26910[30]","98.07","401","23","372","445","1603540"
"13  Bhiwani","","5","62","26808","26081[8]","97.29","665","21","316","898","1856340"
"","14  Mahendragarh","5","45","24885","24675","99.16","165","45","233","487","1427672"
"15  Jind","","29","97","24857","24218[29]","97.43","542","18","218","417","1760562"
"16  Rewari","","9","16","24775","24535[9]","99.03","224","27","116","809","1612519"
"17  Jhajjar","","9","34","23720","23328[2]","98.35","352","51","160","230","1617241"
"18  Fatehabad","","3","16","20174","19660[6]","97.45","498","15","48","219","1203865"
"19  Kaithal","","52","188","14766","14207[22]","96.21","371","29","73","1957","1842786"
"20  Palwal","","0","8","13558","13379","98.68","171","30","119","286","1563547"
"21","Charkhi Dadri","4","16","7564","7403[7]","97.87","145","31","63","436","933046"
"22  Nuh","","0","4","6145","6002[1]","97.67","139","5","5","28","1226116"
"Haryana","","978","3574","1032249","1018007[717]","98.62","10645","817","4318","12856","44791662"
