"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","506","1064880","0","19566"
"2","Thane","5","118119","0","2289"
"3","TMC","45","190103","0","2163"
"4","Navi Mumbai","30","167224","0","2090"
"5","KDMC","10","176255","0","2974"
"6","Ulhasnagar MC","0","26527","0","680"
"7","Bhivandi Nijampur MC","1","13152","0","496"
"8","Mira Bhayandar MC","10","76721","0","1227"
"9","Palghar","2","64686","0","1244"
"10","Vasai Virar MC","10","99025","0","2163"
"11","Raigad","6","138380","0","3463"
"12","Panvel MC","10","106229","0","1482"
"","Mumbai circle total","635","2241301","0","39837"
"13","Nashik","1","183763","1","3814"
"14","Nashik MC","7","278132","0","4752"
