,Unnamed: 0,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,0,2021-11-26,DL,Central Delhi,,,,,,,,2021-11-27 15:07:14.464005,,,,1440807,25095,1415411,30712160
1,1,2021-11-26,DL,East Delhi,,,,,,,,2021-11-27 15:07:14.464005,,,,1440807,25095,1415411,30712160
2,2,2021-11-26,DL,New Delhi,,,,,,,,2021-11-27 15:07:14.464005,,,,1440807,25095,1415411,30712160
3,3,2021-11-26,DL,North Delhi,,,,,,,,2021-11-27 15:07:14.464005,,,,1440807,25095,1415411,30712160
4,4,2021-11-26,DL,North East Delhi,,,,,,,,2021-11-27 15:07:14.464005,,,,1440807,25095,1415411,30712160
5,5,2021-11-26,DL,North West Delhi,,,,,,,,2021-11-27 15:07:14.464005,,,,1440807,25095,1415411,30712160
6,6,2021-11-26,DL,Shahdara,,,,,,,,2021-11-27 15:07:14.464005,,,,1440807,25095,1415411,30712160
7,7,2021-11-26,DL,South Delhi,,,,,,,,2021-11-27 15:07:14.464005,,,,1440807,25095,1415411,30712160
8,8,2021-11-26,DL,South East Delhi,,,,,,,,2021-11-27 15:07:14.464005,,,,1440807,25095,1415411,30712160
9,9,2021-11-26,DL,South West Delhi,,,,,,,,2021-11-27 15:07:14.464005,,,,1440807,25095,1415411,30712160
10,10,2021-11-26,DL,West Delhi,,,,,,,,2021-11-27 15:07:14.464005,,,,1440807,25095,1415411,30712160
11,11,2021-11-26,DL,Unknown,,,,1440807.0,25095.0,1415411.0,,2021-11-27 15:07:14.464005,,,,1440807,25095,1415411,30712160
