"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","8,340"
"2","Number of persons tested positive today in Tamil Nadu","1,470"
"","Passengers returned from other countries  by 
International airport tested positive today","UAE - 4 
Sri Lanka - 1"
"","Passengers returned from other states  by Domestic 
Airport tested positive today","Delhi - 3"
"","Passengers returned from other states / countries  by 
Road tested positive today","Bangladesh - 6 
West Bengal - 4 
Jharkhand - 1"
"","Total","1,489"
"3","Total Number of persons tested positive till date","27,49,534"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,03,607/ 
5,75,47,850@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,03,403/ 
5,66,08,042"
"6","No. of Male / Female / Transgender tested positive today","895/594/0"
"7","No. of Male / Female / Transgender tested positive till date","16,04,882/11,44,614/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","321 (69 Govt+ 
252 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","611/ 
27,04,410"
"10","Total number of deaths today/ till date","8(4 Private &  
4 Govt) /36,784)"
