"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","16951","16680","6","265"
"2","Chengalpattu","175704","172390","767","2547"
"3","Chennai","563656","552083","2920","8653"
"4","Coimbatore","253446","250041","889","2516"
"5","Cuddalore","64604","63640","88","876"
"6","Dharmapuri","29007","28670","56","281"
"7","Dindigul","33351","32663","36","652"
"8","Erode","107788","106656","421","711"
"9","Kallakurichi","31623","31387","26","210"
"10","Kancheepuram","76209","74707","234","1268"
"11","Kanyakumari","63175","61965","148","1062"
"12","Karur","24988","24529","95","364"
"13","Krishnagiri","44121","43697","65","359"
"14","Madurai","75703","74445","71","1187"
"15","Mayiladuthurai","23432","23108","5","319"
"16","Nagapattinam","21431","21049","21","361"
"17","Namakkal","54579","53824","238","517"
"18","Nilgiris","34437","34157","61","219"
"19","Perambalur","12151","11881","25","245"
"20","Pudukottai","30388","29951","16","421"
"21","Ramanathapuram","20691","20304","28","359"
"22","Ranipet","43728","42885","64","779"
"23","Salem","102532","100493","310","1729"
"24","Sivagangai","20527","20264","50","213"
"25","Tenkasi","27422","26925","11","486"
"26","Thanjavur","76470","75353","110","1007"
"27","Theni","43629","43097","9","523"
"28","Thirupathur","29483","28824","32","627"
"29","Thiruvallur","120977","118808","306","1863"
"30","Thiruvannamalai","55369","54653","43","673"
"31","Thiruvarur","42035","41521","51","463"
"32","Thoothukudi","56682","56142","128","412"
"33","Tirunelveli","49822","49301","85","436"
"34","Tiruppur","98675","97219","429","1027"
"35","Trichy","78912","77675","135","1102"
"36","Vellore","50543","49244","156","1143"
"37","Villupuram","46143","45730","55","358"
"38","Virudhunagar","46506","45874","83","549"
"39","Airport Surveillance 
(International)","1125","1063","61","1"
"40","Airport Surveillance 
(Domestic)","1091","1084","6","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","27,49,534","27,04,410","8,340","36,784"
