"Districts","Samples 
Sent to 
Labs 
Today","Negative","","Positive","","Cumulative 
Samples 
Tested","Results 
Awaited 
(including sample 
sent to labs today)"
"","","Negative 
in last 24 
hours","Negative 
Cumulative 
(including 
Pvt. Lab)","Positive 
in last 24 
hours","Positive 
Cumulative 
(including 
Pvt. Lab)","",""
"Almora","1144","1168","249883","43","12456","262339","762"
"Bageshwar","926","579","217654","4","5823","223477","823"
"Chamoli","772","495","298732","25","12352","311084","677"
"Champawat","1388","1155","275664","26","7800","283464","1467"
"Dehradun","5818","4168","1949794","991","116612","2066406","2003"
"Haridwar","6346","4521","2256859","259","53093","2309952","1763"
"Nainital","2194","2076","588397","451","41141","629538","723"
"Pauri Garhwal","956","690","422784","48","18290","441074","1466"
"Pithoragarh","611","1484","240176","30","10475","250651","1593"
"Rudraprayag","454","192","204745","13","8859","213604","702"
"Tehri Garhwal","820","754","310814","35","15993","326807","1074"
"US Nagar","3207","2066","985595","189","38770","1024365","342"
"Uttarkashi","735","440","347696","13","12640","360336","127"
"Total","25371","19788","8348793","2127","354304","8703097","13522"
