"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","56","45","495"
"Kollam","24","13","114"
"Pathanamthitta","15","30","156"
"Alappuzha","15","17","103"
"Kottayam","31","18","332"
"Idukki","11","25","85"
"Ernakulam","117","110","696"
"Thrissur","27","53","8"
"Palakkad","7","2","51"
"Malappuram","8","5","121"
"Kozhikode","33","35","203"
"Wayanad","8","5","47"
"Kannur","9","10","35"
"Kasaragod","0","1","21"
"Total","361","369","2467"
