"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","90,137"
"2","Number of persons tested positive today in Tamil Nadu","4,516"
"","Passengers returned from other states  by road tested 
positive today","West Bengal – 2 
Andhra Pradesh - 1"
"","Total","4,519"
"3","Total Number of persons tested positive till date","34,20,505"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,15,898/ 
6,27,59,697@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,09,152/ 
6,16,23,839"
"6","No. of Male / Female / Transgender tested positive today","2,675/1,844/0"
"7","No. of Male / Female / Transgender tested positive till date","19,96,177/14,24,290/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","331 (69 Govt+ 
262 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","20,237/ 
32,92,559"
"10","Total number of deaths today/ till date","37(19 Private &  
18 Govt) /37,809"
