"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","2,06,484"
"2","Number of persons tested positive today in Tamil Nadu","30,208"
"","Passengers returned from other states by Road tested 
positive today","Andhra Pradesh – 5 
Karnataka – 1 
Tripura - 1"
"","Total","30,215"
"3","Total Number of persons tested positive till date","31,64,205"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,51,217/ 
6,07,54,711@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,43,004/ 
5,97,42,888"
"6","No. of Male / Female / Transgender tested positive today","17,471/12,744/0"
"7","No. of Male / Female / Transgender tested positive till date","18,46,198/13,17,969/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","330 (69 Govt+ 
261 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","24,639/ 
29,20,457"
"10","Total number of deaths today/ till date","46(25 Private &  
21 Govt) /37,264"
