"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","109676","60","107341","2275"
"2","SAS Nagar","95558","115","94299","1144"
"3","Jalandhar","78181","70","76535","1576"
"4","Patiala","61974","26","60491","1457"
"5","Amritsar","59352","37","57633","1682"
"6","Bathinda","50805","23","49694","1088"
"7","Hoshiarpur","40769","84","39592","1093"
"8","Gurdaspur","26909","26","26021","862"
"9","Pathankot","24477","58","23927","492"
"10","Fazilka","23332","32","22756","544"
"11","Muktsar","22530","16","21976","538"
"12","Kapurthala","21995","23","21393","579"
"13","Ropar","17921","21","17445","455"
"14","Ferozepur","17868","20","17317","531"
"15","Mansa","17226","3","16831","392"
"16","Faridkot","16710","13","16359","338"
"17","Sangrur","14304","1","13568","735"
"18","SBS Nagar","13386","9","12972","405"
"19","FG Sahib","11822","5","11463","354"
"20","Moga","10974","1","10719","254"
"21","Tarn Taran","10877","22","10461","394"
"22","Barnala","7480","19","7119","342"
"23","Malerkotla","3965","0","3789","176"
"","Total","758091","684","739701","17706"
