"S. No","Subject","Number"
"1","Total Number of people vaccinated on 7th Dec","4,66,328"
"2","First Dose on 7th Dec","68,771"
"3","Second Dose on 7th Dec","3,97,557"
"4","Cumulative Vaccination till 7th Dec","9,47,33,677"
"5","Cumulative Vaccination First Dose","6,36,12,623"
"6","Cumulative Vaccination Second Dose","3,11,21,054"
"7","Number of CVC (Common Vaccination Centres)","5,348"
"8","Cumulative AEFI cases reported","5,788"
"9","Vaccine wastage","-7%"
