"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","1916","7104","26459"
"Kollam","1383","2146","17373"
"Pathanamthitta","739","1981","6724"
"Alappuzha","1006","2672","10616"
"Kottayam","1367","3342","20938"
"Idukki","620","1884","11467"
"Ernakulam","2973","6015","28939"
"Thrissur","1061","3699","15580"
"Palakkad","606","1762","7190"
"Malappuram","838","2489","11487"
"Kozhikode","1446","2368","11161"
"Wayanad","427","1160","5310"
"Kannur","597","1807","6269"
"Kasaragod","205","390","1834"
"Total","15184","38819","181347"
