"","","","","","","","","","",""
"","","","","","","","","","",""
"","District wise Abstract of COVID-19","","","","","","","","",""
"","Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons 
#"
"","1","Bagalakote","0","41181","0","40810","2","0","369","0"
"","2","Ballari","5","117239","10","115412","39","0","1786","2"
"","3","Belagavi","5","101707","3","100655","44","0","1006","2"
"","4","Bengaluru Rural","0","80316","0","79388","18","0","910","0"
"","5","Bengaluru urban","93","1871280","63","1852017","2276","0","16986","1"
"","6","Bidar","1","30034","0","29607","3","0","420","4"
"","7","Chamarajanagara","3","44339","0","43783","17","0","528","11"
"","8","Chikkaballapura","2","56113","0","55615","35","0","462","1"
"","9","Chikkamagaluru","0","58047","6","57632","8","0","407","0"
"","10","Chitradurga","1","46555","0","46306","8","0","241","0"
"","11","Dakshina Kannada","9","137008","6","135092","56","0","1850","10"
"","12","Davanagere","0","58145","0","57513","4","0","628","0"
"","13","Dharwada","4","86169","5","84736","19","0","1407","7"
"","14","Gadag","0","30685","0","30346","0","0","339","0"
"","15","Hassana","6","145683","8","144342","31","0","1308","2"
"","16","Haveri","0","27163","0","26485","4","0","674","0"
"","17","Kalaburagi","6","77522","0","76592","42","1","888","0"
"","18","Kodagu","12","50686","0","50225","107","0","353","1"
"","19","Kolara","1","64093","2","63414","12","0","667","0"
"","20","Koppala","2","41566","0","41017","5","0","544","0"
"","21  Mandya","","1","102374","1","101654","8","0","712","0"
"","22  Mysuru","","11","233512","7","230835","107","0","2570","0"
"","23","Raichuru","3","46280","2","45905","6","0","369","0"
"","24","Ramanagara","20","31034","0","30527","159","0","348","0"
"","25","Shivamogga","7","84559","0","83337","79","0","1142","1"
"","26","Tumakuru","9","160836","3","159578","35","0","1223","0"
"","27","Udupi","8","96307","6","95729","28","0","550","0"
"","28","Uttara Kannada","2","71950","1","71111","23","0","816","0"
"","29","Vijayapura","0","41198","0","40669","7","0","522","0"
"","30","Yadagiri","0","30021","0","29810","0","0","211","0"
"","31","Others*","0","36","0","33","0","0","3","0"
"","Total","","211","4063638","123","4020175","3182","1","40239","42"
"*
   
Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today.  
 
 
Date: 25-09-2022 
Page 5 of 7","","","","","","","","","",""
