District,Recovered,Deceased,Active
लखनऊ,237961,2652,16395
गौतम बिु नगर,66977,469,12706
गाज़ियाबाद,59226,462,11246
मरेठ,70649,907,8475
िाराणसी,84996,971,4373
आगरा,26275,458,3698
मरुादाबाद,39463,350,3244
कानपरु नगर,81357,1908,2725
प्रयागराज,78003,1090,2531
गोरखपरु,58760,850,2497
मजुफ्फरनगर,31061,271,2467
मथरुा,20428,402,2229
बलुदंशहर,20268,246,2001
सहारनपरु,32696,420,1808
झासी,36032,663,1783
बरेली,43954,377,1622
अलीगढ,21592,109,1401
रामपरु,11739,148,1296
शामली,13084,46,1092
बाराबकंी,19767,225,967
हापड़ु,12549,217,806
बागपत,9142,141,801
बबजनौर,14833,126,800
मनैपरुी,9906,183,703
राय बरेली,16837,343,698
अयोध्या,16792,290,665
अमरोहा,16637,203,592
बदाय,14869,99,590
हरदोई,13464,352,590
गाजीपरु,21428,284,589
शाहजहांपरु,20038,444,582
क्रिरोजाबाद,8674,135,531
लखीमपरु-खीरी,24162,294,511
चदंौली,15895,358,502
बस्ती,11420,331,480
सोनभद्र,16625,252,478
सभंल,9510,106,473
एटा,9910,99,457
हाथरस,2958,43,455
सलु्तानपरु,14795,139,432
गोंडा,12047,272,404
सीतापरु,12243,185,374
आजमगढ़,17703,229,357
