"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","2864","113340","2756","110245","35","3014","81"
"2","SAS Nagar","5026","100715","4719","99252","19","1167","296"
"3","Jalandhar","2656","80921","2448","78786","29","1969","166"
"4","Patiala","2000","64080","1910","62293","11","1722","65"
"5","Amritsar","1268","60823","1163","58871","6","1846","106"
"6","Bathinda","1361","52228","1275","50718","3","1426","84"
"7","Hoshiarpur","1189","42298","1063","40795","15","1415","88"
"8","Gurdaspur","321","27248","279","26352","3","867","29"
"9","Pathankot","472","24974","423","24438","4","521","15"
"10","Fazilka","410","23842","364","23167","0","621","54"
"11","Muktsar","243","22795","222","22232","2","541","22"
"12","Kapurthala","504","22533","464","21905","6","598","30"
"13","Ropar","1017","18955","916","18399","4","459","97"
"14","Ferozepur","430","18323","390","17750","3","540","33"
"15","Mansa","182","17407","173","17009","1","393","5"
"16","Faridkot","364","17200","350","16771","3","414","15"
"17","Sangrur","264","14698","256","13829","9","869","0"
"18","SBS Nagar","408","13810","399","13387","0","409","14"
"19","FG Sahib","658","12573","640","12120","1","437","16"
"20","Moga","219","11218","206","10937","4","270","11"
"21","Tarn Taran","127","11027","107","10612","1","399","16"
"22","Barnala","191","7691","177","7315","5","362","14"
"23","Malerkotla","58","4061","55","3846","3","214","1"
"","Total","22232","782760","20755","761029","167","20473","1258"
