"S. No","Subject","Number"
"1","Total Number of people vaccinated on 7th Jan","7,62,867"
"2","First Dose on 7th Jan","4,06,008"
"3","Second Dose on 7th Jan","3,56,859"
"4","Cumulative Vaccination till 7th Jan","10,72,65,982"
"5","Cumulative Vaccination First Dose","6,55,86,130"
"6","Cumulative Vaccination Second Dose","4,16,79,852"
"7","Number of CVC (Common Vaccination Centres)","5,100"
"8","Cumulative AEFI cases reported","6,442"
"9","Vaccine wastage","-7%"
