District,Recovered,Deceased,Active
लखनऊ,293589,2694,254
गोरखपरु,65716,866,213
गौतम बिु नगर,97731,490,125
बाराबकंी,23578,225,97
लखीमपरु-खीरी,29905,299,95
गाज़ियाबाद,84253,473,59
मरेठ,88012,931,45
झासी,43840,676,38
सलु्तानपरु,16824,144,38
िाराणसी,97513,988,35
हरदोई,17230,370,33
राय बरेली,21265,348,29
कुशीनगर,16204,235,28
लललतपरु,14704,134,27
प्रयागराज,87307,1112,27
अम्बडेकर नगर,5927,167,16
कानपरु नगर,91478,1923,16
प्रतापगढ़,16720,163,16
सहारनपरु,38349,427,16
उन्नाव,16872,257,16
कन्नौज,10804,125,14
जालौन,13842,208,12
अमरोहा,19283,207,11
आजमगढ़,19424,235,10
जौनपरु,24353,244,10
महाराजगजं,14668,146,10
फरु्रखाबाद,11872,197,9
क्रिरोजाबाद,10555,136,9
मनैपरुी,11467,189,9
बस्ती,12785,337,8
बबजनौर,18278,139,8
देवररया,22393,230,8
इटावा,15770,296,8
मजुफ्फरनगर,38317,277,8
अलीगढ,25469,113,7
बादा,12043,166,7
गोंडा,14110,285,7
मथरुा,25573,406,7
आगरा,35676,465,6
बागपत,11056,143,6
बरेली,50082,377,6
फतहेपरु,8282,141,6
गाजीपरु,23869,295,6
