"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","337","110113","221","107710","5","2284","119"
"2","SAS Nagar","635","96324","464","94997","2","1150","177"
"3","Jalandhar","186","78456","141","76841","1","1579","36"
"4","Patiala","271","62302","242","60814","0","1457","31"
"5","Amritsar","107","59504","99","57807","0","1682","15"
"6","Bathinda","83","50951","62","49840","0","1088","23"
"7","Hoshiarpur","80","40920","76","39808","0","1096","16"
"8","Gurdaspur","30","26969","24","26097","1","865","7"
"9","Pathankot","70","24602","56","24089","0","495","18"
"10","Fazilka","39","23437","44","22883","0","545","9"
"11","Muktsar","13","22567","18","22028","0","539","0"
"12","Kapurthala","50","22085","42","21494","1","583","8"
"13","Ropar","45","17983","39","17522","0","455","6"
"14","Ferozepur","26","17925","23","17383","0","537","5"
"15","Mansa","7","17235","5","16841","1","393","1"
"16","Faridkot","44","16827","37","16478","0","338","11"
"17","Sangrur","3","14312","3","13576","0","735","1"
"18","SBS Nagar","27","13429","29","13017","0","409","3"
"19","FG Sahib","34","11868","21","11501","0","354","13"
"20","Moga","11","10999","9","10740","1","255","4"
"21","Tarn Taran","14","10912","5","10510","0","394","8"
"22","Barnala","8","7505","12","7155","0","349","1"
"23","Malerkotla","7","3975","7","3798","0","176","1"
"","Total","2127","761200","1679","742929","12","17758","513"
