"S. No","Subject","Number"
"1","Samples Tested on 6th Aug","47,773"
"2","Total Number of Samples Tested till 6th Aug","1,59,99,961"
"3","Positivity Rate as on 6th Aug","1.50%"
"4","Tests per Million population","1,77,777"
"5","Total Testing Laboratories*","133"
"6","RT-PCR/Antigen Test Ratio","46:54"
