,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinatedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinatedNumberForState
0,2023-04-16,TT,Andaman and Nicobar Islands,,,,10764,129,10622,,,2023-04-16 15:55:25.773590,,,,44818115,531114,44229459,924057685,2206626324
1,2023-04-16,TT,Andhra Pradesh,,,,2339785,14733,2324711,,,2023-04-16 15:55:25.773590,,,,44818115,531114,44229459,924057685,2206626324
2,2023-04-16,TT,Arunachal Pradesh,,,,66895,296,66596,,,2023-04-16 15:55:25.773590,,,,44818115,531114,44229459,924057685,2206626324
3,2023-04-16,TT,Assam,,,,746112,8035,738070,,,2023-04-16 15:55:25.773590,,,,44818115,531114,44229459,924057685,2206626324
4,2023-04-16,TT,Bihar,,,,852078,12304,839361,,,2023-04-16 15:55:25.773590,,,,44818115,531114,44229459,924057685,2206626324
5,2023-04-16,TT,Chandigarh,,,,99924,1184,98484,,,2023-04-16 15:55:25.773590,,,,44818115,531114,44229459,924057685,2206626324
6,2023-04-16,TT,Chhattisgarh,,,,1180122,14156,1164205,,,2023-04-16 15:55:25.773590,,,,44818115,531114,44229459,924057685,2206626324
7,2023-04-16,TT,Dadra and Nagar Haveli and Daman and Diu,,,,11592,4,11588,,,2023-04-16 15:55:25.773590,,,,44818115,531114,44229459,924057685,2206626324
8,2023-04-16,TT,Delhi,,,,2021593,26560,1990402,,,2023-04-16 15:55:25.773590,,,,44818115,531114,44229459,924057685,2206626324
9,2023-04-16,TT,Goa,,,,261495,4014,256823,,,2023-04-16 15:55:25.773590,,,,44818115,531114,44229459,924057685,2206626324
10,2023-04-16,TT,Gujarat,,,,1287037,11066,1273722,,,2023-04-16 15:55:25.773590,,,,44818115,531114,44229459,924057685,2206626324
11,2023-04-16,TT,Haryana,,,,1064273,10721,1049814,,,2023-04-16 15:55:25.773590,,,,44818115,531114,44229459,924057685,2206626324
12,2023-04-16,TT,Himachal Pradesh,,,,318616,4229,312313,,,2023-04-16 15:55:25.773590,,,,44818115,531114,44229459,924057685,2206626324
13,2023-04-16,TT,Jammu and Kashmir,,,,480831,4789,475326,,,2023-04-16 15:55:25.773590,,,,44818115,531114,44229459,924057685,2206626324
14,2023-04-16,TT,Jharkhand,,,,442844,5332,437346,,,2023-04-16 15:55:25.773590,,,,44818115,531114,44229459,924057685,2206626324
15,2023-04-16,TT,Karnataka,,,,4081832,40335,4039531,,,2023-04-16 15:55:25.773590,,,,44818115,531114,44229459,924057685,2206626324
16,2023-04-16,TT,Kerala,,,,6866683,71685,6775517,,,2023-04-16 15:55:25.773590,,,,44818115,531114,44229459,924057685,2206626324
17,2023-04-16,TT,Ladakh,,,,29525,231,29266,,,2023-04-16 15:55:25.773590,,,,44818115,531114,44229459,924057685,2206626324
18,2023-04-16,TT,Lakshadweep,,,,11415,52,11363,,,2023-04-16 15:55:25.773590,,,,44818115,531114,44229459,924057685,2206626324
19,2023-04-16,TT,Maharashtra,,,,8155189,148477,8000665,,,2023-04-16 15:55:25.773590,,,,44818115,531114,44229459,924057685,2206626324
20,2023-04-16,TT,Manipur,,,,139942,2149,137784,,,2023-04-16 15:55:25.773590,,,,44818115,531114,44229459,924057685,2206626324
21,2023-04-16,TT,Meghalaya,,,,96811,1625,95173,,,2023-04-16 15:55:25.773590,,,,44818115,531114,44229459,924057685,2206626324
22,2023-04-16,TT,Mizoram,,,,238974,726,238243,,,2023-04-16 15:55:25.773590,,,,44818115,531114,44229459,924057685,2206626324
23,2023-04-16,TT,Madhya Pradesh,,,,1055595,10779,1044537,,,2023-04-16 15:55:25.773590,,,,44818115,531114,44229459,924057685,2206626324
24,2023-04-16,TT,Nagaland,,,,35992,782,35207,,,2023-04-16 15:55:25.773590,,,,44818115,531114,44229459,924057685,2206626324
25,2023-04-16,TT,Odisha,,,,1338927,9208,1328214,,,2023-04-16 15:55:25.773590,,,,44818115,531114,44229459,924057685,2206626324
26,2023-04-16,TT,Puducherry,,,,176812,1978,174333,,,2023-04-16 15:55:25.773590,,,,44818115,531114,44229459,924057685,2206626324
27,2023-04-16,TT,Punjab,,,,787052,19302,766395,,,2023-04-16 15:55:25.773590,,,,44818115,531114,44229459,924057685,2206626324
28,2023-04-16,TT,Rajasthan,,,,1318628,9680,1306890,,,2023-04-16 15:55:25.773590,,,,44818115,531114,44229459,924057685,2206626324
29,2023-04-16,TT,Sikkim,,,,44478,500,43912,,,2023-04-16 15:55:25.773590,,,,44818115,531114,44229459,924057685,2206626324
30,2023-04-16,TT,Tamil Nadu,,,,3601701,38055,3560598,,,2023-04-16 15:55:25.773590,,,,44818115,531114,44229459,924057685,2206626324
31,2023-04-16,TT,Telangana,,,,842932,4111,838574,,,2023-04-16 15:55:25.773590,,,,44818115,531114,44229459,924057685,2206626324
32,2023-04-16,TT,Tripura,,,,108037,940,107094,,,2023-04-16 15:55:25.773590,,,,44818115,531114,44229459,924057685,2206626324
33,2023-04-16,TT,Uttar Pradesh,,,,2133503,23654,2106790,,,2023-04-16 15:55:25.773590,,,,44818115,531114,44229459,924057685,2206626324
34,2023-04-16,TT,Uttarakhand,,,,450492,7760,442440,,,2023-04-16 15:55:25.773590,,,,44818115,531114,44229459,924057685,2206626324
35,2023-04-16,TT,West Bengal,,,,2119634,21533,2097550,,,2023-04-16 15:55:25.773590,,,,44818115,531114,44229459,924057685,2206626324
