"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on 
13-12-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","9","181868","180845[14]","99.44","924","99","2070","7671","4031043"
"2","Faridabad","2","100003","99245[1]","99.24","717","41","2197","7596","2869103"
"3","Hisar","0","54002","52865","97.89","1137[1]","0","1584","8179","1529024"
"4","Sonepat","0","47145","46891","99.46","254","0","1172","3925","1616843"
"5","Karnal","0","40052","39491[1]","98.60","553","8","1303","7753","1663036"
"6","Panipat","0","31155","30517","97.95","638","0","1925","6701","1358943"
"7","Panchkula","2","30874","30461[1]","98.66","380[1]","33","354","1883","825936"
"8","Ambala","0","30155","29643","98.30","509","3","727","5274","1653279"
"9","Sirsa","0","29296","28779[3]","98.24","508","9","1400","4600","1287765"
"10","Rohtak","0","25922","25366[1]","97.86","534","5","1168","5044","1154027"
"11","Yamunanagar","0","24657","24234","98.28","414","9","895","8054","1318272"
"12","Bhiwani","0","22411","21758","97.09","652","1","446","6478","1304534"
"13","Kurukshetra","0","22160","21799","98.37","357","4","868","5716","991581"
"14","Mahindergarh","0","21689","21534","99.29","155","0","439","2849","978418"
"15","Jind","0","21210","20677","97.49","533","0","1053","4791","1140123"
"16","Rewari","0","20329","20108","98.91","221","0","725","4978","1128041"
"17","Jhajjar","0","18850","18516","98.23","328","0","861","3904","1141493"
"18","Fatehabad","0","17880","17398","97.30","482","0","437","2921","872034"
"19","Kaithal","0","11250","10900","96.89","346","4","806","5226","1028848"
"20","Palwal","0","11031","10875","98.59","153","3","1748","3955","1038102"
"21","Charkhi Dadri","0","5079","4940","97.26","139","0","158","845","689489"
"22","Nuh","0","5014","4891","97.55","123","0","652","616","763095"
"Total","","13","772032","761733[21]","98.67","10057[2]","219","22988","108959","30383029"
