"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on   
13-11-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","12","181537","180545[5]","99.46","922","70","3027","11433","3685756"
"2","Faridabad","3","99915","99191","99.28","716","8","2944","7208","2576692"
"3","Hisar","0","53996","52859","97.89","1136","1","502","1784","1361974"
"4","Sonepat","0","47139","46884","99.46","254","1","1571","3799","1450257"
"5","Karnal","0","40039","39485","98.62","552","2","876","3843","1498441"
"6","Panipat","0","31153","30512","97.94","638","3","3166","4454","1147192"
"7","Panchkula","2","30785","30395","98.74","379","11","803","3101","758420"
"8","Ambala","0","30150","29641","98.31","509","0","747","4083","1492201"
"9","Sirsa","0","29282","28774","98.27","508","0","2301","4797","1101762"
"10","Rohtak","0","25913","25352","97.84","534","10","956","2345","1024482"
"11","Yamunanagar","0","24635","24217","98.30","414","4","546","2022","1199105"
"12","Bhiwani","0","22409","21757","97.09","652","0","689","4310","1118002"
"13","Kurukshetra","0","22150","21791","98.38","357","2","734","2715","881073"
"14","Mahindergarh","0","21689","21534","99.29","155","0","1039","2893","873622"
"15","Jind","0","21209","20676","97.49","533","0","1119","2216","1001257"
"16","Rewari","0","20329","20107[1]","98.90","221","1","1174","2442","973781"
"17","Jhajjar","0","18849","18515","98.23","328","0","789","3313","1027230"
"18","Fatehabad","0","17877","17394","97.30","481","2","462","1564","795050"
"19","Kaithal","0","11246","10898","96.91","346","2","966","3826","862728"
"20","Palwal","0","11026","10873[1]","98.60","153","0","1054","2303","871444"
"21","Charkhi Dadri","0","5078","4939","97.26","139","0","199","984","643012"
"22","Nuh","0","5014","4891","97.55","123","0","3041","1023","457458"
"Total","","17","771420","761230[7]","98.68","10050","117","28705","76458","26800939"
