"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","109714","33","107404","2277"
"2","SAS Nagar","95636","70","94421","1145"
"3","Jalandhar","78228","36","76614","1578"
"4","Patiala","61998","13","60528","1457"
"5","Amritsar","59379","27","57670","1682"
"6","Bathinda","50833","15","49730","1088"
"7","Hoshiarpur","40796","26","39676","1094"
"8","Gurdaspur","26923","16","26044","863"
"9","Pathankot","24497","19","23983","495"
"10","Fazilka","23360","27","22788","545"
"11","Muktsar","22539","4","21997","538"
"12","Kapurthala","22011","10","21422","579"
"13","Ropar","17929","5","17469","455"
"14","Ferozepur","17886","5","17350","531"
"15","Mansa","17226","0","16834","392"
"16","Faridkot","16723","11","16374","338"
"17","Sangrur","14305","0","13570","735"
"18","SBS Nagar","13388","1","12980","407"
"19","FG Sahib","11830","2","11474","354"
"20","Moga","10979","2","10723","254"
"21","Tarn Taran","10884","7","10483","394"
"22","Barnala","7486","15","7126","345"
"23","Malerkotla","3967","1","3790","176"
"","Total","758517","345","740450","17722"
