"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","1082","110858","892","108381","16","2295","182"
"2","SAS Nagar","1743","97432","1417","95950","11","1159","323"
"3","Jalandhar","518","78783","402","77102","3","1581","100"
"4","Patiala","666","62681","549","61121","1","1458","102"
"5","Amritsar","315","59712","251","57959","2","1684","69"
"6","Bathinda","384","51251","288","50066","0","1088","97"
"7","Hoshiarpur","166","41004","150","39882","1","1097","25"
"8","Gurdaspur","92","27027","69","26142","1","865","20"
"9","Pathankot","185","24702","132","24165","0","495","42"
"10","Fazilka","131","23525","114","22953","0","545","27"
"11","Muktsar","57","22609","47","22057","0","539","13"
"12","Kapurthala","132","22162","100","21552","1","583","27"
"13","Ropar","185","18123","122","17605","1","456","62"
"14","Ferozepur","121","18020","98","17458","2","539","23"
"15","Mansa","87","17312","67","16903","1","393","16"
"16","Faridkot","156","16939","141","16582","1","339","18"
"17","Sangrur","66","14375","47","13620","0","735","20"
"18","SBS Nagar","91","13493","62","13050","0","409","34"
"19","FG Sahib","185","12018","134","11614","0","354","50"
"20","Moga","37","11024","31","10762","2","256","6"
"21","Tarn Taran","31","10927","23","10528","0","394","5"
"22","Barnala","57","7554","49","7192","0","349","13"
"23","Malerkotla","18","3986","18","3809","0","176","1"
"","Total","6505","765517","5203","746453","43","17789","1275"
