"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)","","",""
"","","","","","","","","Coverage of Vaccination  
on 17-03-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"1","Gurugram","42","318","260306","258982[45]","99.49","1006","189","636","170","5007332"
"2","Faridabad","7","60","126994","126195[9]","99.37","739","488","689","127","3818418"
"3","Hisar","5","17","61995","60807[5]","98.08","1171","253","485","138","2255500"
"4","Sonepat","1","31","58526","58219[15]","99.48","276","71","195","34","2206017"
"5","Karnal","1","8","48162","47558[2]","98.75","596","435","362","59","2277437"
"6","Panipat","2","7","36058","35380","98.12","671","494","454","22","1966930"
"7","Panchkula","1","22","44119","43683[7]","99.01","414","53","128","40","1062661"
"8","Ambala","2","13","40757","40202[2]","98.64","542","202","851","81","2031515"
"9","Sirsa","0","9","33367","32820[2]","98.36","538","633","605","31","1876059"
"10","Rohtak","1","9","31817","31257[5]","98.24","534","346","563","19","1627219"
"11","Yamunanagar","5","12","30625","30158[10]","98.48","455","254","633","39","1849711"
"12","Bhiwani","1","26","26473","25783[8]","97.39","664","53","373","7","1699191"
"13","Kurukshetra","0","1","26821","26423[1]","98.52","397","148","406","74","1450069"
"14","Mahindergarh","0","7","24750","24578[1]","99.31","165","148","99","18","1332156"
"15","Jind","2","5","24344","23797","97.75","542","282","989","18","1638204"
"16","Rewari","0","0","24589","24365","99.09","224","26","309","11","1501713"
"17","Jhajjar","0","0","23425","23069[1]","98.48","350[1]","139","304","21","1522199"
"18","Fatehabad","0","2","20052","19552[1]","97.51","498","171","147","5","1173963"
"19","Kaithal","0","10","14223","13843[2]","97.33","370","557","1734","25","1673251"
"20","Palwal","1","13","13469","13297[2]","98.72","159[1]","197","304","7","1461410"
"21","Charkhi Dadri","0","0","7419","7274","98.05","145","20","124","28","839026"
"22","Nuh","1","10","6098","5950[1]","97.57","138[1]","74","163","0","1213197"
"Haryana","","72","580","984389","973192 [119]","98.86","10594[3]","5233","10553","974","41483178"
