"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","2151","112627","1874","109363","25","3004","260"
"2","SAS Nagar","3697","99386","3016","97549","13","1161","676"
"3","Jalandhar","1739","80004","1290","77628","8","1948","428"
"4","Patiala","1399","63479","1163","61546","4","1715","218"
"5","Amritsar","759","60314","603","58311","3","1843","160"
"6","Bathinda","966","51833","726","50169","1","1424","240"
"7","Hoshiarpur","655","41797","438","40170","8","1408","219"
"8","Gurdaspur","215","27142","163","26236","2","866","40"
"9","Pathankot","371","24873","309","24324","1","518","31"
"10","Fazilka","271","23703","234","23037","0","621","45"
"11","Muktsar","129","22681","104","22114","0","539","28"
"12","Kapurthala","317","22346","236","21678","1","593","75"
"13","Ropar","596","18534","405","17888","3","458","188"
"14","Ferozepur","275","18168","201","17561","2","539","68"
"15","Mansa","143","17368","129","16965","1","393","10"
"16","Faridkot","272","17107","224","16645","3","413","49"
"17","Sangrur","210","14644","193","13766","2","862","16"
"18","SBS Nagar","263","13665","190","13178","0","409","78"
"19","FG Sahib","439","12354","381","11861","1","437","56"
"20","Moga","116","11115","75","10806","3","269","40"
"21","Tarn Taran","72","10972","45","10550","1","399","23"
"22","Barnala","124","7624","111","7249","1","358","17"
"23","Malerkotla","45","4049","37","3828","2","214","7"
"","Total","15224","775785","12147","752422","85","20391","2972"
