"Districts","Samples 
Sent to 
Labs 
Today","Negative","","Positive","","Cumulative 
Samples 
Tested","Results 
Awaited 
(including sample 
sent to labs today)"
"","","Negative 
in last 24 
hours","Negative 
Cumulative 
(including 
Pvt. Lab)","Positive 
in last 24 
hours","Positive 
Cumulative 
(including 
Pvt. Lab)","",""
"Almora","129","47","225056","3","12217","237273","349"
"Bageshwar","197","220","199608","0","5764","205372","517"
"Chamoli","235","564","276683","0","12245","288928","749"
"Champawat","340","477","229018","0","7605","236623","781"
"Dehradun","3578","3740","1837862","7","112457","1950319","619"
"Haridwar","2739","2378","2052179","0","51522","2103701","338"
"Nainital","630","712","525506","0","39248","564754","864"
"Pauri Garhwal","545","505","374263","0","17689","391952","1343"
"Pithoragarh","82","80","208956","0","10263","219219","708"
"Rudraprayag","82","151","186191","0","8801","194992","386"
"Tehri Garhwal","29","46","292033","0","15838","307871","445"
"US Nagar","591","1299","883305","0","37878","921183","1427"
"Uttarkashi","257","427","329357","0","12557","341914","776"
"Total","9434","10646","7620017","10","344084","7964101","9302"
