,District,cumulativeConfirmedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeDeceasedNumberForDistrict,Date,State/UTCode,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,last_updated,cumulativeTestedNumberForState,tested_last_updated_state,deltaTestedForState,cumulativeVaccinatedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,tested_source_state,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaVaccinated2ForState,deltaVaccinated1ForState,deltaVaccinatedForState,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinatedForDistrict,deltaConfirmedForDistrict,deltaRecoveredForDistrict,deltaDeceasedForDistrict,7DmaConfirmedForState,7DmaRecoveredForState,7DmaDeceasedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinatedForState,7DmaConfirmedForDistrict,7DmaRecoveredForDistrict,7DmaDeceasedForDistrict,7DmaVaccinatedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaTestedForState,delta21_14confirmedForState,statePopulation,StateName,districtPopulation
0,Andaman and Nicobar Islands,7700,7568,129,2021-12-17,TT,34726049,476869,34162765,2021-12-17 10:51:11.264642,661507694,2021-12-16 00:00:00,1259932,1360237989,824345873,535892116,582531,298524,284007,https://www.icmr.gov.in/,7447,391,7886,5748456,1680843,7429299,110,1399,1509,2,2,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363446.857142857,1340168.0,16386.14285714286,0,0,0,,,1332900000,Andaman and Nicobar Islands,397000
1,Andhra Pradesh,2075419,2059131,14474,2021-12-17,TT,34726049,476869,34162765,2021-12-17 10:51:11.264642,661507694,2021-12-16 00:00:00,1259932,1360237989,824345873,535892116,65516282,38317327,27198955,https://www.icmr.gov.in/,7447,391,7886,5748456,1680843,7429299,78805,119579,198384,148,152,3,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363446.857142857,1340168.0,16386.14285714286,0,0,0,,,1332900000,Andhra Pradesh,52221000
2,Arunachal Pradesh,55320,55007,280,2021-12-17,TT,34726049,476869,34162765,2021-12-17 10:51:11.264642,661507694,2021-12-16 00:00:00,1259932,1360237989,824345873,535892116,1438855,801776,637079,https://www.icmr.gov.in/,7447,391,7886,5748456,1680843,7429299,284,1275,1559,1,0,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363446.857142857,1340168.0,16386.14285714286,0,0,0,,,1332900000,Arunachal Pradesh,1504000
3,Assam,619168,610581,6141,2021-12-17,TT,34726049,476869,34162765,2021-12-17 10:51:11.264642,661507694,2021-12-16 00:00:00,1259932,1360237989,824345873,535892116,35831611,21636685,14194926,https://www.icmr.gov.in/,7447,391,7886,5748456,1680843,7429299,9522,133930,143452,180,151,4,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363446.857142857,1340168.0,16386.14285714286,0,0,0,,,1332900000,Assam,34293000
4,Bihar,726351,714174,12093,2021-12-17,TT,34726049,476869,34162765,2021-12-17 10:51:11.264642,661507694,2021-12-16 00:00:00,1259932,1360237989,824345873,535892116,91837927,56358489,35479438,https://www.icmr.gov.in/,7447,391,7886,5748456,1680843,7429299,83460,398723,482183,5,8,1,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363446.857142857,1340168.0,16386.14285714286,0,0,0,,,1332900000,Bihar,119520000
5,Chandigarh,65673,64520,1076,2021-12-17,TT,34726049,476869,34162765,2021-12-17 10:51:11.264642,661507694,2021-12-16 00:00:00,1259932,1360237989,824345873,535892116,1643696,957039,686657,https://www.icmr.gov.in/,7447,391,7886,5748456,1680843,7429299,761,2809,3570,14,12,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363446.857142857,1340168.0,16386.14285714286,0,0,0,,,1332900000,Chandigarh,1179000
6,Chhattisgarh,1007327,993373,13595,2021-12-17,TT,34726049,476869,34162765,2021-12-17 10:51:11.264642,661507694,2021-12-16 00:00:00,1259932,1360237989,824345873,535892116,28420480,17356138,11064342,https://www.icmr.gov.in/,7447,391,7886,5748456,1680843,7429299,30731,86388,117119,32,26,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363446.857142857,1340168.0,16386.14285714286,0,0,0,,,1332900000,Chhattisgarh,28724000
7,Dadra and Nagar Haveli and Daman and Diu,10688,10679,4,2021-12-17,TT,34726049,476869,34162765,2021-12-17 10:51:11.264642,661507694,2021-12-16 00:00:00,1259932,1360237989,824345873,535892116,1174277,688939,485338,https://www.icmr.gov.in/,7447,391,7886,5748456,1680843,7429299,1010,2370,3380,2,0,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363446.857142857,1340168.0,16386.14285714286,0,0,0,,,1332900000,Dadra and Nagar Haveli and Daman and Diu,959000
8,Delhi,1441935,1416360,25100,2021-12-17,TT,34726049,476869,34162765,2021-12-17 10:51:11.264642,661507694,2021-12-16 00:00:00,1259932,1360237989,824345873,535892116,24614135,14594115,10020020,https://www.icmr.gov.in/,7447,391,7886,5748456,1680843,7429299,37234,72039,109273,85,38,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363446.857142857,1340168.0,16386.14285714286,0,0,0,,,1332900000,Delhi,19814000
9,Goa,179601,175724,3485,2021-12-17,TT,34726049,476869,34162765,2021-12-17 10:51:11.264642,661507694,2021-12-16 00:00:00,1259932,1360237989,824345873,535892116,2369741,1294891,1074850,https://www.icmr.gov.in/,7447,391,7886,5748456,1680843,7429299,528,2260,2788,36,32,3,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363446.857142857,1340168.0,16386.14285714286,0,0,0,,,1332900000,Goa,1540000
