,Unnamed: 0,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,0,2021-11-22,DL,Central Delhi,,,,,,,,2021-11-23 22:19:52.265613,,,,1440692,25095,1415300,30493757
1,1,2021-11-22,DL,East Delhi,,,,,,,,2021-11-23 22:19:52.265613,,,,1440692,25095,1415300,30493757
2,2,2021-11-22,DL,New Delhi,,,,,,,,2021-11-23 22:19:52.265613,,,,1440692,25095,1415300,30493757
3,3,2021-11-22,DL,North Delhi,,,,,,,,2021-11-23 22:19:52.265613,,,,1440692,25095,1415300,30493757
4,4,2021-11-22,DL,North East Delhi,,,,,,,,2021-11-23 22:19:52.265613,,,,1440692,25095,1415300,30493757
5,5,2021-11-22,DL,North West Delhi,,,,,,,,2021-11-23 22:19:52.265613,,,,1440692,25095,1415300,30493757
6,6,2021-11-22,DL,Shahdara,,,,,,,,2021-11-23 22:19:52.265613,,,,1440692,25095,1415300,30493757
7,7,2021-11-22,DL,South Delhi,,,,,,,,2021-11-23 22:19:52.265613,,,,1440692,25095,1415300,30493757
8,8,2021-11-22,DL,South East Delhi,,,,,,,,2021-11-23 22:19:52.265613,,,,1440692,25095,1415300,30493757
9,9,2021-11-22,DL,South West Delhi,,,,,,,,2021-11-23 22:19:52.265613,,,,1440692,25095,1415300,30493757
10,10,2021-11-22,DL,West Delhi,,,,,,,,2021-11-23 22:19:52.265613,,,,1440692,25095,1415300,30493757
11,11,2021-11-22,DL,Unknown,,,,1440692.0,25095.0,1415300.0,,2021-11-23 22:19:52.265613,,,,1440692,25095,1415300,30493757
