"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","993","110769","820","108309","16","2295","165"
"2","SAS Nagar","1619","97308","1324","95857","9","1157","294"
"3","Jalandhar","488","78753","367","77067","3","1581","105"
"4","Patiala","617","62636","526","61098","1","1458","80"
"5","Amritsar","298","59695","224","57932","2","1684","79"
"6","Bathinda","349","51216","258","50036","0","1088","92"
"7","Hoshiarpur","154","40992","140","39872","1","1097","23"
"8","Gurdaspur","86","27021","65","26138","1","865","18"
"9","Pathankot","172","24693","119","24152","0","495","46"
"10","Fazilka","118","23512","100","22939","0","545","28"
"11","Muktsar","53","22605","39","22049","0","539","17"
"12","Kapurthala","127","22157","95","21547","1","583","27"
"13","Ropar","173","18111","108","17591","1","456","64"
"14","Ferozepur","107","18006","85","17445","1","538","23"
"15","Mansa","77","17302","56","16892","1","393","17"
"16","Faridkot","146","16929","134","16575","1","339","15"
"17","Sangrur","54","14363","37","13610","0","735","18"
"18","SBS Nagar","72","13474","53","13041","0","409","24"
"19","FG Sahib","164","11997","118","11598","0","354","45"
"20","Moga","35","11022","27","10758","2","256","8"
"21","Tarn Taran","29","10925","20","10525","0","394","6"
"22","Barnala","50","7547","42","7185","0","349","13"
"23","Malerkotla","16","3984","14","3805","0","176","3"
"","Total","5997","765017","4771","746021","40","17786","1210"
