"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","109722","32","107413","2277"
"2","SAS Nagar","95638","64","94429","1145"
"3","Jalandhar","78233","36","76619","1578"
"4","Patiala","61999","9","60533","1457"
"5","Amritsar","59381","26","57673","1682"
"6","Bathinda","50835","15","49732","1088"
"7","Hoshiarpur","40802","32","39676","1094"
"8","Gurdaspur","26924","12","26049","863"
"9","Pathankot","24505","26","23984","495"
"10","Fazilka","23361","24","22792","545"
"11","Muktsar","22539","2","21999","538"
"12","Kapurthala","22012","11","21422","579"
"13","Ropar","17929","5","17469","455"
"14","Ferozepur","17889","7","17351","531"
"15","Mansa","17226","0","16834","392"
"16","Faridkot","16723","10","16375","338"
"17","Sangrur","14305","0","13570","735"
"18","SBS Nagar","13389","2","12980","407"
"19","FG Sahib","11831","3","11474","354"
"20","Moga","10980","2","10724","254"
"21","Tarn Taran","10886","9","10483","394"
"22","Barnala","7486","15","7126","345"
"23","Malerkotla","3967","1","3790","176"
"","Total","758562","343","740497","17722"
