,District,cumulativeConfirmedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeDeceasedNumberForDistrict,Date,State/UTCode,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,last_updated,cumulativeTestedNumberForState,tested_last_updated_state,deltaTestedForState,cumulativeVaccinatedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeVaccinatedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,tested_source_state,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaVaccinated3ForState,deltaVaccinated2ForState,deltaVaccinated1ForState,deltaVaccinatedForState,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,deltaVaccinatedForDistrict,deltaConfirmedForDistrict,deltaRecoveredForDistrict,deltaDeceasedForDistrict,7DmaTestedForState,delta21_14confirmedForState,statePopulation,StateName,districtPopulation
0,Andaman and Nicobar Islands,10747,10618,129,2023-01-10,TT,44680215,530722,44147174,2023-01-10 14:00:03.727214,912192538,2023-01-08 00:00:00,0,2201437900,1027233272,951287303,222917325,991263.0,347616.0,353284.0,290363.0,https://www.icmr.gov.in/,121,1,172,40741,10302,3649,54692,0.0,0.0,0.0,0.0,0,0,0,,,1332900000,Andaman and Nicobar Islands,397000
1,Andhra Pradesh,2339077,2324336,14733,2023-01-10,TT,44680215,530722,44147174,2023-01-10 14:00:03.727214,912192538,2023-01-08 00:00:00,0,2201437900,1027233272,951287303,222917325,110560868.0,44702264.0,47572325.0,18286279.0,https://www.icmr.gov.in/,121,1,172,40741,10302,3649,54692,21.0,11.0,77.0,109.0,0,0,0,,,1332900000,Andhra Pradesh,52221000
2,Arunachal Pradesh,66891,66594,296,2023-01-10,TT,44680215,530722,44147174,2023-01-10 14:00:03.727214,912192538,2023-01-08 00:00:00,0,2201437900,1027233272,951287303,222917325,1911891.0,960329.0,820470.0,131092.0,https://www.icmr.gov.in/,121,1,172,40741,10302,3649,54692,0.0,0.0,1.0,1.0,0,0,0,,,1332900000,Arunachal Pradesh,1504000
3,Assam,746100,738065,8035,2023-01-10,TT,44680215,530722,44147174,2023-01-10 14:00:03.727214,912192538,2023-01-08 00:00:00,0,2201437900,1027233272,951287303,222917325,50286839.0,24811549.0,22131977.0,3343313.0,https://www.icmr.gov.in/,121,1,172,40741,10302,3649,54692,40.0,139.0,53.0,232.0,0,0,0,,,1332900000,Assam,34293000
4,Bihar,851404,839098,12303,2023-01-10,TT,44680215,530722,44147174,2023-01-10 14:00:03.727214,912192538,2023-01-08 00:00:00,0,2201437900,1027233272,951287303,222917325,157218726.0,73471456.0,67887024.0,15860246.0,https://www.icmr.gov.in/,121,1,172,40741,10302,3649,54692,278.0,327.0,564.0,1169.0,0,3,0,,,1332900000,Bihar,119520000
5,Chandigarh,99355,98170,1181,2023-01-10,TT,44680215,530722,44147174,2023-01-10 14:00:03.727214,912192538,2023-01-08 00:00:00,0,2201437900,1027233272,951287303,222917325,2283191.0,1185142.0,985914.0,112135.0,https://www.icmr.gov.in/,121,1,172,40741,10302,3649,54692,12.0,17.0,56.0,85.0,1,0,0,,,1332900000,Chandigarh,1179000
6,Chhattisgarh,1177760,1163612,14146,2023-01-10,TT,44680215,530722,44147174,2023-01-10 14:00:03.727214,912192538,2023-01-08 00:00:00,0,2201437900,1027233272,951287303,222917325,49166341.0,21267444.0,20343319.0,7555578.0,https://www.icmr.gov.in/,121,1,172,40741,10302,3649,54692,18.0,11.0,92.0,121.0,0,0,0,,,1332900000,Chhattisgarh,28724000
7,Dadra and Nagar Haveli and Daman and Diu,11591,11587,4,2023-01-10,TT,44680215,530722,44147174,2023-01-10 14:00:03.727214,912192538,2023-01-08 00:00:00,0,2201437900,1027233272,951287303,222917325,1579279.0,782274.0,636865.0,160140.0,https://www.icmr.gov.in/,121,1,172,40741,10302,3649,54692,1.0,3.0,39.0,43.0,0,0,0,,,1332900000,Dadra and Nagar Haveli and Daman and Diu,959000
8,Delhi,2007289,1980746,26522,2023-01-10,TT,44680215,530722,44147174,2023-01-10 14:00:03.727214,912192538,2023-01-08 00:00:00,0,2201437900,1027233272,951287303,222917325,37377165.0,18292768.0,15710012.0,3374385.0,https://www.icmr.gov.in/,121,1,172,40741,10302,3649,54692,101.0,77.0,398.0,576.0,8,10,1,,,1332900000,Delhi,19814000
9,Goa,259097,255070,4013,2023-01-10,TT,44680215,530722,44147174,2023-01-10 14:00:03.727214,912192538,2023-01-08 00:00:00,0,2201437900,1027233272,951287303,222917325,2873105.0,1439859.0,1295429.0,137817.0,https://www.icmr.gov.in/,121,1,172,40741,10302,3649,54692,1.0,8.0,21.0,30.0,3,1,0,,,1332900000,Goa,1540000
