"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on 
14-12-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","15","181883","180859[14]","99.44","925[1]","99","2393","8934","4042370"
"2","Faridabad","2","100005","99252[7]","99.25","717","36","2354","9858","2881315"
"3","Hisar","0","54002","52865","97.89","1137","0","1923","8379","1539326"
"4","Sonepat","0","47145","46891","99.46","254","0","1598","7129","1625570"
"5","Karnal","0","40052","39492[1]","98.60","554[1]","6","1257","8416","1672709"
"6","Panipat","0","31155","30517","97.95","638","0","2097","7441","1368481"
"7","Panchkula","3","30877","30462[1]","98.66","380","35","459","2732","829127"
"8","Ambala","0","30155","29643","98.30","509","3","893","8906","1663078"
"9","Sirsa","1","29297","28787[8]","98.26","508","2","1901","6332","1295998"
"10","Rohtak","0","25922","25366","97.86","534","5","1314","4521","1159862"
"11","Yamunanagar","1","24658","24238[4]","98.30","414","6","848","6005","1325125"
"12","Bhiwani","0","22411","21758","97.09","652","1","537","6139","1311210"
"13","Kurukshetra","0","22160","21799","98.37","357","4","1186","6645","999412"
"14","Mahindergarh","0","21689","21534","99.29","155","0","439","2996","981853"
"15","Jind","0","21210","20677","97.49","533","0","1577","6051","1147751"
"16","Rewari","0","20329","20108","98.91","221","0","830","6145","1135016"
"17","Jhajjar","0","18850","18516","98.23","328","0","972","5036","1147501"
"18","Fatehabad","0","17880","17398","97.30","482","0","523","3702","876259"
"19","Kaithal","1","11251","10900","96.88","346","5","975","5681","1035504"
"20","Palwal","0","11031","10875","98.59","153","3","1933","4720","1044755"
"21","Charkhi Dadri","0","5079","4940","97.26","139","0","194","997","690680"
"22","Nuh","0","5014","4891","97.55","123","0","1147","887","765129"
"Total","","23","772055","761768[35]","98.67","10059[2]","205","27350","127652","30538031"
