"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","20239","19961","11","267"
"2","Chengalpattu","252358","249277","421","2660"
"3","Chennai","789957","778497","2390","9070"
"4","Coimbatore","340188","337224","346","2618"
"5","Cuddalore","75791","74832","63","896"
"6","Dharmapuri","36811","36513","15","283"
"7","Dindigul","38967","38234","68","665"
"8","Erode","136184","135267","183","734"
"9","Kallakurichi","36932","36705","12","215"
"10","Kancheepuram","98028","96679","46","1303"
"11","Kanyakumari","89883","88565","232","1086"
"12","Karur","30244","29851","21","372"
"13","Krishnagiri","62154","61606","176","372"
"14","Madurai","93065","91749","80","1236"
"15","Mayiladuthurai","27373","26980","63","330"
"16","Nagapattinam","25975","25587","13","375"
"17","Namakkal","69702","69124","44","534"
"18","Nilgiris","42839","42564","49","226"
"19","Perambalur","14908","14625","34","249"
"20","Pudukottai","35227","34778","23","426"
"21","Ramanathapuram","24996","24617","11","368"
"22","Ranipet","56398","55535","76","787"
"23","Salem","131487","129562","161","1764"
"24","Sivagangai","25095","24826","50","219"
"25","Tenkasi","33882","33364","28","490"
"26","Thanjavur","93491","92395","55","1041"
"27","Theni","51835","51275","27","533"
"28","Thirupathur","36082","35444","5","633"
"29","Thiruvallur","153223","151198","83","1942"
"30","Thiruvannamalai","68305","67599","21","685"
"31","Thiruvarur","48962","48481","8","473"
"32","Thoothukudi","67191","66675","68","448"
"33","Tirunelveli","65924","65384","95","445"
"34","Tiruppur","132027","130877","97","1053"
"35","Trichy","97988","96711","116","1161"
"36","Vellore","58089","56889","37","1163"
"37","Villupuram","56264","55857","40","367"
"38","Virudhunagar","59387","58710","122","555"
"39","Airport Surveillance 
(International)","1394","1388","5","1"
"40","Airport Surveillance 
(Domestic)","1166","1165","0","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","35,80,439","35,36,998","5,395","38,046"
